# lo0 lores lofreq freq dec resbin ridx weight widx noise166 flux10 snr10 hours snravg noise50 psf_area psf_sym psf_mean noise50k speed speed_avg
SKASUR 0 0 1000 -30 0.4-1.0arcsec 0 natural 0 5.2 10.00 1.91 362.32 1.49 9.5 2.1 0.34 0.8443 3e+02 66 48
SKA1W8 0 0 650 -50 3.0-4.0arcsec 4 natural 0 3.5 13.52 3.84 69.70 3.39 6.4 35 0.03 3.3440 2e+02 24 14
SKA1V8-C9B120 0 0 800 -30 2.0-3.0arcsec 3 natural 0 2.4 11.69 4.91 31.01 5.08 4.3 17 0.07 2.3409 1.4e+02 26 31
SKA1W8-V2 0 0 800 -30 0.4-1.0arcsec 0 natural 0 1.4 11.69 8.21 10.80 8.61 2.6 1.7 0.13 0.7330 82 72 68
SKASUR 0 0 1400 -30 0.4-1.0arcsec 0 natural 0 4.1 7.90 1.93 362.32 1.49 7.4 1.5 0.28 0.7019 2.4e+02 67 48
SKA1W8 0 0 1400 -50 10.0-60.0arcsec 6 natural 0 0.74 7.90 10.71 8.29 9.83 1.3 1.6e+03 0.01 22.6728 42 40 1.1e+02
SKA1W8-C9B120 0 0 650 -50 10.0-60.0arcsec 6 natural 0 1.3 13.52 10.81 8.72 9.58 2.3 1.2e+03 0.00 19.9445 72 1.9e+02 1.1e+02
SKA1V8 0 0 1400 -10 10.0-60.0arcsec 6 natural 0 0.72 7.90 10.98 7.37 10.42 1.3 1.4e+03 0.04 21.4157 41 42 1.3e+02
SKA1W8-V2 0 0 650 -30 3.0-10.0arcsec 5 natural 0 1.7 13.52 7.96 15.82 7.11 3.1 74 0.07 4.8601 98 1e+02 60
SKA1V8-C9B120 0 0 1000 -30 10.0-100.0arcsec 7 natural 0 1 10.00 9.74 5.65 11.90 1.9 1.8e+03 0.02 23.9841 59 65 1.8e+02
SKASUR 0 0 1400 -50 0.4-2.0arcsec 1 natural 0 2.8 7.90 2.84 113.00 2.66 5.1 2.8 0.23 0.9527 1.6e+02 1.5e+02 1.3e+02
SKASUR 0 0 1000 -30 2.0-3.0arcsec 3 natural 0 5.4 10.00 1.85 276.84 1.70 9.9 17 0.01 2.3584 3.1e+02 61 53
SKA1V8 0 0 650 -10 10.0-60.0arcsec 6 natural 0 1.2 13.52 11.74 7.37 10.42 2.1 1.3e+03 0.08 20.1901 66 2.2e+02 1.3e+02
SKA1W8-12C0B120 0 0 800 -50 3.0-4.0arcsec 4 natural 0 3.3 11.69 3.57 63.73 3.54 6 37 0.08 3.4225 1.9e+02 14 14
SKA1W8-12C0B120 0 0 800 -50 3.0-10.0arcsec 5 natural 0 1.6 11.69 7.26 14.55 7.42 2.9 77 0.07 4.9533 93 56 64
SKA1W8-V2 0 0 800 -30 3.0-10.0arcsec 5 natural 0 1.7 11.69 7.01 15.82 7.11 3 76 0.08 4.9199 96 53 60
SKA1W8-V2 0 0 650 -10 10.0-100.0arcsec 7 natural 0 1.1 13.52 12.76 6.14 11.41 1.9 2.4e+03 0.10 27.5981 61 2.6e+02 1.5e+02
SKA1W8-V2 0 0 1000 -10 1.0-2.0arcsec 2 natural 0 1.9 10.00 5.36 15.46 7.19 3.4 5.4 0.10 1.3138 1.1e+02 20 78
SKASUR1 0 0 1000 -50 2.0-3.0arcsec 3 natural 0 5.6 10.00 1.77 344.70 1.52 10 17 0.06 2.3606 3.3e+02 56 43
SKA1W8 0 0 800 -10 10.0-60.0arcmin 8 natural 0 6.1 11.69 1.91 231.09 1.86 11 2e+06 0.01 798.3992 3.5e+02 3.9 6.2
SKA1W8-V2 0 0 1400 -50 3.0-10.0arcsec 5 natural 0 1 7.90 7.60 15.40 7.21 1.9 86 0.01 5.2416 60 20 60
SKA1W8-C9B120 0 0 650 -50 3.0-4.0arcsec 4 natural 0 3.5 13.52 3.87 64.40 3.52 6.4 35 0.03 3.3379 2e+02 24 14
SKASUR1 0 0 1400 -10 3.0-4.0arcsec 4 natural 0 6.2 7.90 1.27 497.51 1.27 11 35 0.05 3.3543 3.6e+02 29 30
SKA1W8 0 0 650 -30 10.0-100.0arcsec 7 natural 0 1.1 13.52 12.77 6.12 11.43 1.9 2.2e+03 0.03 26.5850 61 2.6e+02 1.5e+02
SKASUR1 0 0 1000 -10 10.0-100.0arcsec 7 natural 0 2.5 10.00 3.99 52.31 3.91 4.6 9.1e+02 0.11 17.0445 1.4e+02 2.9e+02 2.9e+02
SKA1W8-C9B120 0 0 650 -30 1.0-2.0arcsec 2 natural 0 1.6 13.52 8.49 18.83 6.52 2.9 4.8 0.02 1.2304 92 1.2e+02 63
SKA1V8 0 0 800 -50 0.4-2.0arcsec 1 natural 0 1.3 11.69 9.12 8.97 9.44 2.3 2.1 0.11 0.8103 74 89 97
SKA1V8 0 0 800 -10 3.0-10.0arcsec 5 natural 0 1.5 11.69 7.82 12.07 8.14 2.7 79 0.02 5.0104 86 66 75
SKA1W8-12C0B120 0 0 800 -50 0.4-1.0arcsec 0 natural 0 1.3 11.69 9.29 8.82 9.52 2.3 1.7 0.11 0.7305 73 92 84
SKASUR 0 0 800 -30 0.4-1.0arcsec 0 natural 0 11 11.69 1.04 362.32 1.49 20 2.8 0.39 0.9715 6.4e+02 20 48
SKA1W8-12C0B120 0 0 1000 -10 1.0-2.0arcsec 2 natural 0 1.7 10.00 5.79 13.21 7.78 3.1 5.3 0.07 1.2980 1e+02 23 92
SKA1V8-C9B120 0 0 800 -30 3.0-4.0arcsec 4 natural 0 2.9 11.69 4.00 46.79 4.13 5.3 35 0.06 3.3629 1.7e+02 17 20
SKA1W8-12C0B120 0 0 1000 -50 3.0-4.0arcsec 4 natural 0 2.8 10.00 3.51 63.73 3.54 5.2 35 0.13 3.3523 1.6e+02 8.5 14
SKA1W8-C9B120 0 0 650 -10 10.0-60.0arcmin 8 natural 0 5.1 13.52 2.68 237.81 1.83 9.2 2.1e+06 0.01 820.0382 2.9e+02 12 6.1
SKA1W8-12C0B120 0 0 650 -30 10.0-60.0arcsec 6 natural 0 1.3 13.52 10.67 8.47 9.72 2.3 1.4e+03 0.05 20.8895 73 1.8e+02 1.1e+02
SKA1V8 0 0 1000 -10 0.4-1.0arcsec 0 natural 0 1.7 10.00 6.00 16.93 6.87 3 1.1 0.05 0.5804 96 25 47
SKA1V8 0 0 800 -50 10.0-60.0arcsec 6 natural 0 1.2 11.69 10.15 7.34 10.44 2.1 1.2e+03 0.03 19.6513 66 1.1e+02 1.3e+02
SKA1W8 0 0 650 -10 10.0-60.0arcsec 6 natural 0 1.3 13.52 10.72 8.27 9.84 2.3 1.3e+03 0.10 20.7536 73 1.9e+02 1.1e+02
SKASUR 0 0 650 -50 2.0-3.0arcsec 3 natural 0 8.2 13.52 1.65 281.03 1.69 15 17 0.17 2.3578 4.7e+02 49 52
SKA1W8 0 0 1400 -50 10.0-60.0arcmin 8 natural 0 7.7 7.90 1.03 257.85 1.76 14 1.6e+06 0.03 717.3603 4.4e+02 0.37 5.6
SKA1V8 0 0 1000 -50 0.4-2.0arcsec 1 natural 0 1.3 10.00 7.99 8.97 9.44 2.3 1.9 0.07 0.7701 72 44 97
SKASUR 0 0 800 -10 1.0-2.0arcsec 2 natural 0 6.1 11.69 1.91 181.11 2.10 11 5.7 0.24 1.3609 3.5e+02 65 81
SKASUR1 0 0 1000 -30 0.4-2.0arcsec 1 natural 0 4.1 10.00 2.42 194.27 2.03 7.5 6.2 0.36 1.4347 2.4e+02 1.1e+02 78
SKA1W8 0 0 800 -50 1.0-2.0arcsec 2 natural 0 1.9 11.69 6.16 18.67 6.55 3.5 5.3 0.04 1.2969 1.1e+02 41 64
SKA1W8 0 0 1000 -30 10.0-100.0arcsec 7 natural 0 1 10.00 9.57 6.12 11.43 1.9 2.5e+03 0.02 28.2338 60 63 1.5e+02
SKA1W8-12C0B120 0 0 800 -10 0.4-2.0arcsec 1 natural 0 0.99 11.69 11.83 5.39 12.19 1.8 2.5 0.04 0.8901 57 1.5e+02 1.7e+02
SKA1W8 0 0 1000 -50 1.0-2.0arcsec 2 natural 0 2 10.00 4.95 18.67 6.55 3.7 5.4 0.07 1.3132 1.2e+02 17 64
SKA1W8-C9B120 0 0 1000 -30 0.4-1.0arcsec 0 natural 0 1.2 10.00 8.23 9.54 9.16 2.2 1.1 0.12 0.6059 70 46 87
SKA1V8 0 0 1000 -50 10.0-100.0arcsec 7 natural 0 1 10.00 9.89 5.50 12.06 1.8 2.1e+03 0.02 26.0373 58 67 1.8e+02
SKA1V8 0 0 800 -30 0.4-2.0arcsec 1 natural 0 1.3 11.69 9.17 9.18 9.34 2.3 2 0.13 0.8046 73 90 95
SKA1V8-C9B120 0 0 1400 -10 0.4-2.0arcsec 1 natural 0 0.69 7.90 11.41 8.73 9.57 1.3 1.8 0.04 0.7662 40 46 90
SKA1W8-12C0B120 0 0 800 -30 0.4-1.0arcsec 0 natural 0 1.3 11.69 9.24 8.68 9.60 2.3 1.6 0.12 0.7218 73 91 86
SKA1V8 0 0 1000 -30 10.0-60.0arcmin 8 natural 0 8.3 10.00 1.20 261.19 1.75 15 1.9e+06 0.03 776.1893 4.8e+02 0.99 5.5
SKASUR1 0 0 650 -50 0.4-1.0arcsec 0 natural 0 1.2e+02 13.52 0.11 1641.07 0.70 2.2e+02 4.7 0.66 1.4036 7.1e+03 0.22 14
SKASUR 0 0 1400 -10 10.0-60.0arcmin 8 natural 0 56 7.90 0.14 15023.26 0.23 1e+02 1.9e+06 0.21 793.4179 3.2e+03 0.36 1.1
SKASUR1 0 0 1000 -50 0.4-2.0arcsec 1 natural 0 4.1 10.00 2.45 191.85 2.04 7.4 6.6 0.30 1.4723 2.4e+02 1.1e+02 80
SKA1W8-V2 0 0 650 -30 10.0-100.0arcsec 7 natural 0 1.1 13.52 12.78 6.05 11.50 1.9 2.4e+03 0.04 27.5449 61 2.7e+02 1.5e+02
SKASUR1 0 0 800 -10 0.4-1.0arcsec 0 natural 0 48 11.69 0.24 1398.98 0.76 87 2.8 0.48 0.9988 2.8e+03 1.1 15
SKA1W8-C9B120 0 0 800 -10 1.0-2.0arcsec 2 natural 0 1.8 11.69 6.39 17.57 6.75 3.3 5.2 0.06 1.2900 1.1e+02 44 69
SKA1W8 0 0 1400 -50 3.0-4.0arcsec 4 natural 0 2.3 7.90 3.48 69.70 3.39 4.1 35 0.07 3.3273 1.3e+02 4.2 14
SKASUR 0 0 650 -10 0.4-2.0arcsec 1 natural 0 5.7 13.52 2.37 110.24 2.69 10 6.8 0.27 1.4915 3.3e+02 1e+02 1.4e+02
SKASUR1 0 0 800 -30 1.0-2.0arcsec 2 natural 0 8.1 11.69 1.43 273.35 1.71 15 7.9 0.42 1.6442 4.7e+02 37 56
SKASUR1 0 0 1400 -50 0.4-2.0arcsec 1 natural 0 3.5 7.90 2.29 191.85 2.04 6.3 4.5 0.24 1.2021 2e+02 94 80
SKA1W8-V2 0 0 800 -10 1.0-2.0arcsec 2 natural 0 1.7 11.69 7.08 15.46 7.19 3 5.2 0.05 1.2882 95 54 78
SKA1V8 0 0 650 -10 1.0-2.0arcsec 2 natural 0 2 13.52 6.92 20.84 6.20 3.6 5.5 0.04 1.3284 1.1e+02 78 45
SKA1V8-C9B120 0 0 1400 -10 3.0-10.0arcsec 5 natural 0 0.84 7.90 9.40 10.48 8.74 1.5 85 0.03 5.1950 48 31 87
SKA1W8-V2 0 0 1400 -30 1.0-2.0arcsec 2 natural 0 1.2 7.90 6.37 15.68 7.14 2.3 5 0.07 1.2674 72 14 75
SKA1V8-C9B120 0 0 650 -50 0.4-2.0arcsec 1 natural 0 1.4 13.52 9.74 8.48 9.71 2.5 3.8 0.07 1.0954 80 1.5e+02 95
SKA1W8 0 0 1000 -30 3.0-10.0arcsec 5 natural 0 1.6 10.00 6.17 15.27 7.24 3 87 0.06 5.2693 93 26 59
SKA1W8-V2 0 0 800 -30 10.0-60.0arcmin 8 natural 0 6.4 11.69 1.82 259.26 1.76 12 2e+06 0.01 791.7114 3.7e+02 3.5 5.6
SKA1W8-12C0B120 0 0 1400 -10 10.0-60.0arcsec 6 natural 0 0.77 7.90 10.32 8.63 9.63 1.4 1.6e+03 0.05 22.8180 44 37 1.1e+02
SKA1W8-C9B120 0 0 1000 -30 10.0-100.0arcsec 7 natural 0 1.1 10.00 9.05 6.65 10.97 2 2.1e+03 0.06 25.8498 64 56 1.5e+02
SKA1V8-C9B120 0 0 1000 -10 3.0-10.0arcsec 5 natural 0 1.4 10.00 7.31 10.48 8.74 2.5 82 0.03 5.1238 79 37 87
SKA1W8-C9B120 0 0 1000 -10 10.0-60.0arcsec 6 natural 0 1.3 10.00 7.94 8.62 9.64 2.3 1.3e+03 0.04 20.4089 73 43 1.1e+02
SKA1W8 0 0 800 -10 3.0-4.0arcsec 4 natural 0 3.5 11.69 3.35 69.37 3.40 6.4 35 0.05 3.3359 2e+02 12 14
SKA1W8-12C0B120 0 0 1400 -30 0.4-1.0arcsec 0 natural 0 0.7 7.90 11.29 8.68 9.60 1.3 0.91 0.10 0.5387 40 45 86
SKASUR 0 0 800 -30 2.0-3.0arcsec 3 natural 0 8 11.69 1.46 276.84 1.70 15 17 0.19 2.3717 4.6e+02 38 53
SKA1W8-V2 0 0 1000 -10 0.4-2.0arcsec 1 natural 0 1.1 10.00 9.32 6.50 11.10 2 1.9 0.05 0.7765 62 60 1.4e+02
SKA1W8-V2 0 0 1000 -10 10.0-60.0arcsec 6 natural 0 1.3 10.00 8.00 8.78 9.55 2.3 1.5e+03 0.03 22.1672 72 44 1e+02
SKA1V8 0 0 800 -30 10.0-100.0arcsec 7 natural 0 0.98 11.69 11.94 5.56 12.00 1.8 1.9e+03 0.01 24.6180 56 1.5e+02 1.8e+02
SKASUR1 0 0 800 -50 3.0-10.0arcsec 5 natural 0 4.2 11.69 2.79 79.72 3.17 7.6 88 0.04 5.2843 2.4e+02 1.4e+02 1.8e+02
SKA1V8 0 0 1400 -30 0.4-1.0arcsec 0 natural 0 1 7.90 7.82 16.80 6.90 1.8 1 0.07 0.5761 58 21 49
SKA1V8-C9B120 0 0 1000 -10 0.4-2.0arcsec 1 natural 0 1.2 10.00 8.13 8.73 9.57 2.2 2.3 0.02 0.8561 71 45 90
SKASUR 0 0 1000 -50 0.4-2.0arcsec 1 natural 0 3.2 10.00 3.11 113.00 2.66 5.9 4.1 0.25 1.1604 1.9e+02 1.7e+02 1.3e+02
SKA1W8-C9B120 0 0 1000 -30 0.4-2.0arcsec 1 natural 0 1 10.00 9.68 6.28 11.28 1.9 1.5 0.12 0.6992 60 64 1.5e+02
SKA1W8-C9B120 0 0 800 -50 3.0-10.0arcsec 5 natural 0 1.6 11.69 7.32 13.62 7.66 2.9 84 0.04 5.1633 92 57 65
SKA1V8 0 0 650 -30 10.0-100.0arcsec 7 natural 0 0.98 13.52 13.83 5.56 12.00 1.8 2e+03 0.03 25.0258 56 3.1e+02 1.8e+02
SKA1V8-C9B120 0 0 650 -10 10.0-60.0arcmin 8 natural 0 5.1 13.52 2.68 234.48 1.85 9.2 2.1e+06 0.01 820.0381 2.9e+02 12 6.2
SKASUR 0 0 1400 -30 3.0-4.0arcsec 4 natural 0 5.1 7.90 1.55 347.93 1.52 9.3 36 0.10 3.3788 2.9e+02 43 43
SKA1V8-C9B120 0 0 1400 -30 0.4-2.0arcsec 1 natural 0 0.7 7.90 11.33 8.44 9.74 1.3 1.8 0.09 0.7591 40 45 97
SKA1W8 0 0 650 -30 0.4-2.0arcsec 1 natural 0 1.1 13.52 11.83 6.75 10.89 2.1 3 0.12 0.9819 66 2.3e+02 1.3e+02
SKA1W8-C9B120 0 0 1400 -10 2.0-3.0arcsec 3 natural 0 1.7 7.90 4.68 42.61 4.33 3.1 18 0.07 2.3835 97 7.7 23
SKA1V8 0 0 650 -10 3.0-4.0arcsec 4 natural 0 3.2 13.52 4.21 54.37 3.84 5.9 35 0.05 3.3621 1.9e+02 29 17
SKA1W8 0 0 800 -50 0.4-1.0arcsec 0 natural 0 1.4 11.69 8.64 10.49 8.73 2.5 1.6 0.10 0.7145 78 80 76
SKA1W8 0 0 800 -30 0.4-2.0arcsec 1 natural 0 1.1 11.69 10.44 6.75 10.89 2 2.2 0.12 0.8373 65 1.2e+02 1.3e+02
SKA1W8-12C0B120 0 0 1400 -50 3.0-10.0arcsec 5 natural 0 1 7.90 7.71 14.55 7.42 1.9 86 0.01 5.2464 59 21 64
SKA1W8 0 0 650 -30 0.4-1.0arcsec 0 natural 0 1.6 13.52 8.72 10.42 8.76 2.8 2 0.15 0.8073 89 1.2e+02 77
SKA1V8-C9B120 0 0 1400 -10 10.0-100.0arcsec 7 natural 0 0.67 7.90 11.75 5.90 11.65 1.2 1.8e+03 0.04 24.0789 39 48 1.7e+02
SKA1W8-12C0B120 0 0 650 -30 10.0-60.0arcmin 8 natural 0 5.3 13.52 2.57 258.22 1.76 9.6 2.1e+06 0.01 814.6447 3e+02 11 5.7
SKA1W8-V2 0 0 800 -30 0.4-2.0arcsec 1 natural 0 1.1 11.69 10.72 6.48 11.11 2 2.5 0.11 0.8945 63 1.2e+02 1.3e+02
SKASUR 0 0 800 -10 0.4-1.0arcsec 0 natural 0 11 11.69 1.04 362.42 1.49 21 2.6 0.30 0.9310 6.5e+02 19 49
SKA1V8 0 0 650 -50 0.4-2.0arcsec 1 natural 0 1.4 13.52 9.99 8.97 9.44 2.5 2.6 0.11 0.9171 78 1.6e+02 97
SKA1V8-C9B120 0 0 800 -30 3.0-10.0arcsec 5 natural 0 1.4 11.69 8.47 10.34 8.80 2.5 80 0.07 5.0570 80 77 89
SKASUR1 0 0 1400 -30 0.4-2.0arcsec 1 natural 0 3.5 7.90 2.28 194.27 2.03 6.3 4 0.30 1.1528 2e+02 93 78
SKASUR1 0 0 800 -30 10.0-100.0arcsec 7 natural 0 3 11.69 3.90 53.86 3.85 5.5 1e+03 0.15 18.1847 1.7e+02 2.7e+02 2.8e+02
SKASUR1 0 0 1000 -10 1.0-2.0arcsec 2 natural 0 4.5 10.00 2.22 270.11 1.72 8.2 6.1 0.36 1.4261 2.6e+02 89 57
SKA1W8-12C0B120 0 0 800 -30 3.0-4.0arcsec 4 natural 0 3.2 11.69 3.62 63.84 3.54 5.9 38 0.11 3.4638 1.9e+02 14 14
SKA1W8-V2 0 0 1400 -50 1.0-2.0arcsec 2 natural 0 1.3 7.90 6.30 15.47 7.19 2.3 5 0.07 1.2653 72 14 77
SKA1V8 0 0 1400 -50 0.4-1.0arcsec 0 natural 0 1 7.90 7.81 16.55 6.95 1.8 1 0.06 0.5766 58 21 50
SKASUR1 0 0 800 -10 10.0-60.0arcmin 8 natural 0 51 11.69 0.23 16917.25 0.22 92 2.8e+06 0.22 943.2798 2.9e+03 0.96 0.99
SKASUR1 0 0 650 -50 3.0-10.0arcsec 5 natural 0 4.5 13.52 3.04 79.72 3.17 8.1 85 0.07 5.2164 2.6e+02 1.7e+02 1.8e+02
SKA1W8-C9B120 0 0 1000 -50 0.4-2.0arcsec 1 natural 0 1.1 10.00 9.49 6.38 11.20 1.9 1.6 0.09 0.7052 61 62 1.4e+02
SKA1V8 0 0 800 -30 10.0-60.0arcmin 8 natural 0 6.5 11.69 1.81 261.19 1.75 12 2e+06 0.01 791.7114 3.7e+02 3.5 5.5
SKASUR 0 0 1000 -10 10.0-60.0arcsec 6 natural 0 3.6 10.00 2.79 89.82 2.98 6.5 8.7e+02 0.07 16.6161 2.1e+02 1.4e+02 1.8e+02
SKA1W8-12C0B120 0 0 1400 -50 0.4-1.0arcsec 0 natural 0 0.7 7.90 11.27 8.82 9.52 1.3 0.91 0.08 0.5394 40 44 84
SKA1W8-V2 0 0 1000 -10 0.4-1.0arcsec 0 natural 0 1.3 10.00 7.61 11.16 8.47 2.4 1.3 0.04 0.6473 76 40 63
SKA1V8-C9B120 0 0 1000 -50 10.0-60.0arcmin 8 natural 0 8.4 10.00 1.20 262.00 1.75 15 1.9e+06 0.02 774.4855 4.8e+02 0.98 5.6
SKA1W8 0 0 650 -10 10.0-60.0arcmin 8 natural 0 5 13.52 2.70 231.09 1.86 9.1 2.1e+06 0.02 818.8186 2.9e+02 12 6.2
SKASUR 0 0 1000 -30 0.4-2.0arcsec 1 natural 0 3.1 10.00 3.23 108.82 2.71 5.6 4.1 0.28 1.1516 1.8e+02 1.9e+02 1.4e+02
SKA1W8-12C0B120 0 0 1400 -10 1.0-2.0arcsec 2 natural 0 1.2 7.90 6.67 13.21 7.78 2.2 5.1 0.05 1.2718 68 16 92
SKA1W8 0 0 1000 -10 1.0-2.0arcsec 2 natural 0 2 10.00 4.99 18.34 6.60 3.7 5.2 0.07 1.2915 1.2e+02 17 65
SKA1W8-C9B120 0 0 650 -30 10.0-60.0arcsec 6 natural 0 1.2 13.52 10.91 8.68 9.60 2.3 1.2e+03 0.00 19.9065 71 1.9e+02 1.1e+02
SKA1W8-C9B120 0 0 1000 -50 3.0-4.0arcsec 4 natural 0 3.2 10.00 3.10 64.40 3.52 5.9 36 0.06 3.3812 1.9e+02 6.6 14
SKA1V8 0 0 1400 -50 10.0-100.0arcsec 7 natural 0 0.65 7.90 12.22 5.50 12.06 1.2 2.1e+03 0.00 26.0946 37 52 1.8e+02
SKA1W8-C9B120 0 0 800 -30 10.0-60.0arcsec 6 natural 0 1.3 11.69 9.34 8.68 9.60 2.3 1.2e+03 0.03 19.4354 72 93 1.1e+02
SKASUR1 0 0 1400 -10 10.0-100.0arcsec 7 natural 0 2.9 7.90 2.69 52.31 3.91 5.4 7.8e+02 0.07 15.7574 1.7e+02 1.3e+02 2.9e+02
SKA1W8 0 0 800 -30 10.0-60.0arcmin 8 natural 0 6.4 11.69 1.82 259.65 1.76 12 2e+06 0.01 791.7114 3.7e+02 3.6 5.6
SKA1W8 0 0 650 -50 0.4-1.0arcsec 0 natural 0 1.6 13.52 8.53 10.49 8.73 2.9 2 0.11 0.8059 91 1.2e+02 76
SKA1W8-C9B120 0 0 650 -10 3.0-4.0arcsec 4 natural 0 3.6 13.52 3.81 64.90 3.51 6.5 35 0.08 3.3518 2e+02 24 14
SKA1W8-V2 0 0 1400 -10 3.0-10.0arcsec 5 natural 0 1.1 7.90 7.52 15.34 7.22 1.9 89 0.09 5.3396 61 20 61
SKA1W8-12C0B120 0 0 1000 -30 0.4-2.0arcsec 1 natural 0 0.97 10.00 10.28 5.48 12.08 1.8 1.7 0.10 0.7358 56 73 1.6e+02
SKA1V8 0 0 1000 -30 0.4-2.0arcsec 1 natural 0 1.3 10.00 7.98 9.18 9.34 2.3 1.9 0.08 0.7713 72 44 95
SKA1W8-12C0B120 0 0 800 -30 3.0-10.0arcsec 5 natural 0 1.6 11.69 7.24 14.69 7.38 2.9 76 0.08 4.9171 93 56 64
SKA1W8 0 0 1400 -50 2.0-3.0arcsec 3 natural 0 1.9 7.90 4.27 45.40 4.20 3.4 17 0.05 2.3469 1.1e+02 6.4 22
SKA1V8-C9B120 0 0 650 -10 1.0-2.0arcsec 2 natural 0 1.8 13.52 7.42 18.03 6.66 3.3 5.5 0.03 1.3277 1.1e+02 89 52
SKA1W8-C9B120 0 0 650 -50 10.0-60.0arcmin 8 natural 0 5.3 13.52 2.54 261.61 1.75 9.7 2.1e+06 0.00 816.0131 3.1e+02 10 5.6
SKA1W8 0 0 800 -50 3.0-4.0arcsec 4 natural 0 3.5 11.69 3.31 69.70 3.39 6.4 35 0.02 3.3606 2e+02 12 14
SKA1W8-C9B120 0 0 650 -10 0.4-1.0arcsec 0 natural 0 1.6 13.52 8.22 10.27 8.82 3 2 0.06 0.8007 95 1.1e+02 74
SKA1W8-12C0B120 0 0 1400 -10 10.0-100.0arcsec 7 natural 0 0.68 7.90 11.58 6.38 11.20 1.2 2.5e+03 0.06 28.1841 39 47 1.5e+02
SKA1W8-C9B120 0 0 800 -30 2.0-3.0arcsec 3 natural 0 3 11.69 3.96 44.60 4.24 5.4 17 0.05 2.3358 1.7e+02 17 21
SKASUR 0 0 1000 -10 10.0-60.0arcmin 8 natural 0 51 10.00 0.20 15023.26 0.23 92 2.8e+06 0.25 948.5896 2.9e+03 0.7 1.1
SKA1V8 0 0 1000 -30 10.0-100.0arcsec 7 natural 0 1 10.00 9.75 5.56 12.00 1.9 2.1e+03 0.02 26.0672 59 65 1.8e+02
SKASUR1 0 0 650 -10 10.0-100.0arcsec 7 natural 0 2.8 13.52 4.75 52.31 3.91 5.2 1.2e+03 0.14 19.9748 1.6e+02 4.1e+02 2.9e+02
SKASUR1 0 0 650 -10 1.0-2.0arcsec 2 natural 0 9.8 13.52 1.38 270.11 1.72 18 10 0.42 1.8587 5.6e+02 35 57
SKA1W8-12C0B120 0 0 800 -50 10.0-60.0arcmin 8 natural 0 6.4 11.69 1.82 257.53 1.76 12 2e+06 0.00 793.8355 3.7e+02 3.5 5.6
SKA1W8-V2 0 0 800 -10 3.0-10.0arcsec 5 natural 0 1.7 11.69 6.99 15.34 7.22 3 74 0.03 4.8439 96 52 61
SKA1V8-C9B120 0 0 800 -10 0.4-2.0arcsec 1 natural 0 1.3 11.69 9.06 8.73 9.57 2.4 3 0.02 0.9797 74 88 90
SKASUR 0 0 650 -10 10.0-60.0arcsec 6 natural 0 3.5 13.52 3.90 89.82 2.98 6.3 7.7e+02 0.05 15.6861 2e+02 2.7e+02 1.8e+02
SKASUR 0 0 800 -30 1.0-2.0arcsec 2 natural 0 6.1 11.69 1.93 177.35 2.12 11 5.9 0.22 1.3846 3.5e+02 67 83
SKA1V8-C9B120 0 0 650 -30 3.0-4.0arcsec 4 natural 0 2.9 13.52 4.65 46.79 4.13 5.3 35 0.05 3.3229 1.7e+02 35 20
SKA1W8-C9B120 0 0 650 -30 3.0-4.0arcsec 4 natural 0 3.4 13.52 3.96 62.13 3.59 6.2 35 0.06 3.3519 2e+02 25 15
SKA1W8-V2 0 0 800 -50 0.4-2.0arcsec 1 natural 0 1.1 11.69 10.89 6.31 11.26 2 2.5 0.09 0.9019 62 1.3e+02 1.4e+02
SKA1W8-V2 0 0 1000 -10 3.0-4.0arcsec 4 natural 0 3 10.00 3.38 64.32 3.53 5.4 35 0.16 3.3614 1.7e+02 7.8 15
SKASUR1 0 0 650 -50 0.4-2.0arcsec 1 natural 0 8.3 13.52 1.63 191.85 2.04 15 11 0.40 1.9745 4.8e+02 48 80
SKASUR 0 0 1400 -30 2.0-3.0arcsec 3 natural 0 4.6 7.90 1.71 276.84 1.70 8.4 18 0.07 2.3889 2.7e+02 53 53
SKA1W8 0 0 800 -10 2.0-3.0arcsec 3 natural 0 2.9 11.69 3.97 46.14 4.16 5.4 17 0.06 2.3485 1.7e+02 17 21
SKA1W8 0 0 1000 -50 3.0-10.0arcsec 5 natural 0 1.6 10.00 6.14 15.27 7.24 3 87 0.04 5.2576 94 26 59
SKA1V8 0 0 800 -10 3.0-4.0arcsec 4 natural 0 3.1 11.69 3.79 54.37 3.84 5.6 35 0.01 3.3147 1.8e+02 15 17
SKA1V8 0 0 1400 -50 10.0-60.0arcmin 8 natural 0 7.5 7.90 1.05 257.08 1.76 14 1.6e+06 0.03 717.3603 4.3e+02 0.39 5.6
SKA1V8 0 0 1000 -10 3.0-4.0arcsec 4 natural 0 3 10.00 3.28 54.37 3.84 5.6 35 0.13 3.3543 1.8e+02 7.4 17
SKA1W8-C9B120 0 0 1400 -50 3.0-4.0arcsec 4 natural 0 2.1 7.90 3.77 64.40 3.52 3.8 34 0.06 3.3096 1.2e+02 5 14
SKA1W8-12C0B120 0 0 800 -50 2.0-3.0arcsec 3 natural 0 2.7 11.69 4.27 35.77 4.73 5 17 0.04 2.2956 1.6e+02 20 30
SKASUR1 0 0 1000 -10 0.4-1.0arcsec 0 natural 0 13 10.00 0.77 1398.98 0.76 24 2.7 0.38 0.9571 7.5e+02 11 15
