# lo0 lores lofreq freq dec resbin ridx weight widx noise166 flux10 snr10 hours snravg noise50 psf_area psf_sym psf_mean noise50k speed speed_avg
SKA1W8 0 0 1400 -10 3.0-10.0arcsec 5 natural 0 1 7.90 7.82 15.66 7.15 1.8 90 0.06 5.3404 58 21 57
SKA1V8 0 0 650 -10 10.0-100.0arcsec 7 natural 0 0.98 13.52 13.86 5.52 12.04 1.8 2e+03 0.08 24.9845 56 3.1e+02 1.8e+02
SKASUR1 0 0 650 -10 0.4-2.0arcsec 1 natural 0 8 13.52 1.70 192.32 2.04 15 11 0.41 1.9302 4.6e+02 52 79
SKA1W8 0 0 800 -10 3.0-10.0arcsec 5 natural 0 1.7 11.69 6.91 15.66 7.15 3.1 78 0.01 4.9924 97 51 57
SKASUR1 0 0 1400 -50 1.0-2.0arcsec 2 natural 0 4.5 7.90 1.75 290.66 1.66 8.2 6 0.05 1.3823 2.6e+02 55 54
SKA1W8 0 0 650 -10 0.4-2.0arcsec 1 natural 0 1.2 13.52 11.51 6.88 10.78 2.1 3.2 0.05 1.0051 68 2.2e+02 1.3e+02
SKA1W8-V2 0 0 800 -50 10.0-60.0arcsec 6 natural 0 1.3 11.69 9.24 8.80 9.53 2.3 1.4e+03 0.04 20.7824 73 91 1e+02
SKA1W8 0 0 800 -50 3.0-10.0arcsec 5 natural 0 1.7 11.69 7.02 15.27 7.24 3 82 0.05 5.1233 96 53 59
SKA1W8 0 0 800 -50 0.4-2.0arcsec 1 natural 0 1.1 11.69 10.59 6.70 10.93 2 2.2 0.10 0.8448 64 1.2e+02 1.3e+02
SKA1V8 0 0 1000 -50 1.0-2.0arcsec 2 natural 0 2 10.00 5.10 21.16 6.15 3.6 5.7 0.06 1.3507 1.1e+02 18 44
SKA1W8-C9B120 0 0 1000 -50 10.0-60.0arcsec 6 natural 0 1.3 10.00 7.98 8.72 9.58 2.3 1.3e+03 0.07 20.6841 72 44 1.1e+02
SKA1W8-12C0B120 0 0 1000 -50 10.0-100.0arcsec 7 natural 0 1.1 10.00 9.50 6.04 11.51 1.9 2.6e+03 0.02 28.8516 61 62 1.6e+02
SKA1W8-V2 0 0 1000 -50 10.0-60.0arcmin 8 natural 0 8.2 10.00 1.22 250.66 1.79 15 1.9e+06 0.02 775.0471 4.7e+02 1 5.8
SKASUR1 0 0 1000 -30 0.4-1.0arcsec 0 natural 0 11 10.00 0.89 1259.99 0.80 20 3.1 0.48 1.0415 6.5e+02 14 17
SKA1V8-C9B120 0 0 650 -30 3.0-10.0arcsec 5 natural 0 1.4 13.52 9.67 10.34 8.80 2.5 76 0.07 4.9214 81 1.5e+02 89
SKASUR1 0 0 800 -10 10.0-100.0arcsec 7 natural 0 3 11.69 3.94 52.31 3.91 5.4 1.1e+03 0.13 18.3407 1.7e+02 2.8e+02 2.9e+02
SKA1W8-V2 0 0 650 -10 2.0-3.0arcsec 3 natural 0 2.5 13.52 5.50 37.70 4.61 4.5 17 0.11 2.3346 1.4e+02 49 27
SKA1W8-C9B120 0 0 800 -10 10.0-60.0arcsec 6 natural 0 1.2 11.69 9.48 8.62 9.64 2.2 1.2e+03 0.02 19.4527 71 96 1.1e+02
SKA1V8 0 0 650 -10 2.0-3.0arcsec 3 natural 0 2.5 13.52 5.32 36.11 4.71 4.6 18 0.09 2.3654 1.5e+02 46 26
SKA1V8 0 0 1000 -30 1.0-2.0arcsec 2 natural 0 2 10.00 5.09 21.33 6.12 3.6 5.7 0.10 1.3434 1.1e+02 18 44
SKASUR 0 0 1400 -50 10.0-100.0arcsec 7 natural 0 4.4 7.90 1.78 88.56 3.01 8.1 1e+03 0.02 18.0329 2.6e+02 57 1.8e+02
SKASUR 0 0 1000 -50 3.0-4.0arcsec 4 natural 0 5.2 10.00 1.94 326.01 1.57 9.4 36 0.04 3.3719 3e+02 67 46
SKASUR 0 0 1000 -10 0.4-2.0arcsec 1 natural 0 3.1 10.00 3.22 110.24 2.69 5.7 4.1 0.25 1.1515 1.8e+02 1.9e+02 1.4e+02
SKASUR1 0 0 800 -50 0.4-1.0arcsec 0 natural 0 55 11.69 0.21 1641.07 0.70 1e+02 3.2 0.51 1.0662 3.2e+03 0.82 14
SKA1V8-C9B120 0 0 1400 -50 3.0-4.0arcsec 4 natural 0 1.8 7.90 4.31 46.68 4.14 3.3 35 0.09 3.3338 1.1e+02 6.5 21
SKASUR 0 0 1000 -50 0.4-1.0arcsec 0 natural 0 5.6 10.00 1.79 398.05 1.42 10 2.1 0.25 0.8348 3.2e+02 58 45
SKASUR1 0 0 1000 -50 3.0-10.0arcsec 5 natural 0 2.7 10.00 3.69 79.72 3.17 4.9 93 0.01 5.4398 1.6e+02 2.4e+02 1.8e+02
SKA1W8-C9B120 0 0 650 -10 10.0-100.0arcsec 7 natural 0 1.1 13.52 12.63 6.48 11.11 2 1.9e+03 0.04 24.6462 62 2.6e+02 1.5e+02
SKA1V8 0 0 650 -30 0.4-1.0arcsec 0 natural 0 1.9 13.52 7.01 16.80 6.90 3.5 1.5 0.16 0.6906 1.1e+02 80 49
SKA1V8-C9B120 0 0 1400 -50 10.0-60.0arcmin 8 natural 0 7.7 7.90 1.03 262.00 1.75 14 1.6e+06 0.03 715.5258 4.4e+02 0.37 5.6
SKA1V8-C9B120 0 0 650 -50 3.0-10.0arcsec 5 natural 0 1.4 13.52 9.64 10.51 8.72 2.6 77 0.05 4.9414 81 1.5e+02 88
SKA1W8-12C0B120 0 0 800 -10 10.0-100.0arcsec 7 natural 0 1.1 11.69 11.03 6.38 11.20 1.9 2.2e+03 0.06 26.7511 61 1.3e+02 1.5e+02
SKA1W8-C9B120 0 0 800 -50 3.0-4.0arcsec 4 natural 0 3.5 11.69 3.31 64.40 3.52 6.4 35 0.03 3.3595 2e+02 12 14
SKASUR 0 0 1400 -50 3.0-4.0arcsec 4 natural 0 5.2 7.90 1.52 326.01 1.57 9.5 36 0.09 3.3678 3e+02 42 46
SKA1W8-C9B120 0 0 800 -30 10.0-100.0arcsec 7 natural 0 1.1 11.69 10.72 6.65 10.97 2 1.9e+03 0.04 24.2744 63 1.2e+02 1.5e+02
SKA1W8 0 0 800 -30 10.0-100.0arcsec 7 natural 0 1 11.69 11.16 6.12 11.43 1.9 2.2e+03 0.01 26.4893 60 1.3e+02 1.5e+02
SKASUR1 0 0 650 -30 1.0-2.0arcsec 2 natural 0 9.9 13.52 1.37 273.35 1.71 18 10 0.47 1.8825 5.7e+02 34 56
SKA1W8-12C0B120 0 0 1000 -10 0.4-2.0arcsec 1 natural 0 0.97 10.00 10.32 5.39 12.19 1.8 1.8 0.05 0.7536 56 73 1.7e+02
SKA1V8-C9B120 0 0 800 -50 3.0-4.0arcsec 4 natural 0 3 11.69 3.96 46.68 4.14 5.4 35 0.04 3.3587 1.7e+02 17 21
SKA1W8-12C0B120 0 0 800 -10 0.4-1.0arcsec 0 natural 0 1.3 11.69 9.18 8.92 9.47 2.3 1.7 0.06 0.7281 73 90 83
SKASUR 0 0 1000 -30 3.0-4.0arcsec 4 natural 0 5.4 10.00 1.85 347.93 1.52 9.8 36 0.09 3.3764 3.1e+02 62 43
SKA1V8-C9B120 0 0 800 -30 10.0-60.0arcmin 8 natural 0 6.6 11.69 1.78 260.61 1.75 12 2e+06 0.01 790.8395 3.8e+02 3.4 5.6
SKA1W8-12C0B120 0 0 1000 -30 10.0-100.0arcsec 7 natural 0 1.1 10.00 9.45 6.16 11.40 1.9 2.6e+03 0.02 28.8972 61 61 1.6e+02
SKA1W8-12C0B120 0 0 650 -50 10.0-60.0arcsec 6 natural 0 1.3 13.52 10.63 8.53 9.68 2.3 1.4e+03 0.05 20.8558 73 1.8e+02 1.1e+02
SKA1W8 0 0 800 -50 10.0-60.0arcsec 6 natural 0 1.2 11.69 9.46 8.29 9.83 2.3 1.3e+03 0.04 20.3845 71 96 1.1e+02
SKA1V8-C9B120 0 0 1000 -30 3.0-10.0arcsec 5 natural 0 1.3 10.00 7.46 10.34 8.80 2.4 85 0.06 5.1899 77 38 89
SKA1V8-C9B120 0 0 1400 -30 10.0-60.0arcmin 8 natural 0 7.6 7.90 1.04 260.61 1.75 14 1.6e+06 0.02 714.5147 4.4e+02 0.38 5.6
SKA1V8-C9B120 0 0 1000 -30 2.0-3.0arcsec 3 natural 0 2.4 10.00 4.10 31.01 5.08 4.4 17 0.07 2.3420 1.4e+02 12 31
SKASUR 0 0 1000 -30 10.0-60.0arcmin 8 natural 0 53 10.00 0.19 16369.08 0.22 97 2.7e+06 0.25 933.7548 3.1e+03 0.63 0.98
SKA1W8 0 0 650 -30 2.0-3.0arcsec 3 natural 0 2.8 13.52 4.85 45.67 4.19 5.1 17 0.05 2.3500 1.6e+02 38 22
SKA1W8-V2 0 0 1000 -30 0.4-2.0arcsec 1 natural 0 1.1 10.00 9.44 6.48 11.11 1.9 1.8 0.11 0.7588 61 61 1.3e+02
SKASUR 0 0 650 -50 0.4-2.0arcsec 1 natural 0 5.8 13.52 2.34 113.00 2.66 11 7.1 0.27 1.5265 3.3e+02 99 1.3e+02
SKA1V8-C9B120 0 0 1000 -50 0.4-1.0arcsec 0 natural 0 1.7 10.00 5.99 17.45 6.77 3 1.2 0.07 0.6303 96 25 40
SKA1W8 0 0 800 -30 2.0-3.0arcsec 3 natural 0 2.9 11.69 4.04 45.67 4.19 5.3 17 0.05 2.3377 1.7e+02 17 22
SKA1W8 0 0 1000 -50 10.0-60.0arcsec 6 natural 0 1.3 10.00 7.98 8.29 9.83 2.3 1.5e+03 0.02 21.8602 72 44 1.1e+02
SKA1W8-V2 0 0 1000 -30 10.0-60.0arcmin 8 natural 0 8.4 10.00 1.20 259.26 1.76 15 1.9e+06 0.03 776.1893 4.8e+02 0.98 5.6
SKA1V8 0 0 650 -10 10.0-60.0arcmin 8 natural 0 5 13.52 2.70 230.68 1.86 9.1 2.1e+06 0.02 818.8186 2.9e+02 12 6.3
SKA1W8-C9B120 0 0 800 -50 10.0-100.0arcsec 7 natural 0 1.1 11.69 10.88 6.53 11.07 2 1.9e+03 0.02 24.4036 62 1.3e+02 1.5e+02
SKA1V8-C9B120 0 0 1400 -30 10.0-100.0arcsec 7 natural 0 0.67 7.90 11.77 5.65 11.90 1.2 1.8e+03 0.00 24.2537 39 48 1.8e+02
SKA1W8-C9B120 0 0 1000 -10 0.4-2.0arcsec 1 natural 0 1 10.00 9.57 6.50 11.09 1.9 1.6 0.06 0.7155 60 63 1.3e+02
SKA1V8-C9B120 0 0 650 -30 10.0-60.0arcmin 8 natural 0 5.3 13.52 2.57 260.61 1.75 9.6 2.1e+06 0.00 815.3443 3e+02 11 5.6
SKA1V8 0 0 1400 -10 2.0-3.0arcsec 3 natural 0 1.6 7.90 5.01 36.11 4.71 2.9 17 0.08 2.3459 91 8.8 26
SKA1W8-V2 0 0 1000 -30 3.0-4.0arcsec 4 natural 0 3 10.00 3.28 68.06 3.43 5.5 35 0.12 3.3333 1.8e+02 7.4 14
