lo0,lores,lofreq,freq,dec,weight,widx,noise166,noise50,psf_sym,psf_ex,psf_ey,psf_mean,noise50k,sdl
SKA1V8,0,0,1400,-30,,robust=-2.0:taper=0,1,4.3e+02,,7.9e+02,0.02,0.76,0.75,0.76,2.5e+04,0.62
SKASUR,0,0,800,-30,,robust=-2.0:taper=0,1,8e+02,,1.5e+03,0.30,2.1,1.5,1.8,4.6e+04,1.4
SKA1W8-0C0B120,0,0,1400,-30,,natural,0,1e+02,,1.8e+02,0.15,3.5,4.1,3.8,5.8e+03,0.58
SKA1W8-0C0B120,0,0,1000,-30,,robust=-2.0:taper=1.0,2,3.9e+02,,7.1e+02,0.02,1,0.98,0.99,2.2e+04,0.47
SKA1W8-0C0B120,0,0,1000,-30,,natural,0,1e+02,,1.8e+02,0.15,5,5.8,5.4,5.8e+03,0.46
SKA1V8,0,0,1000,-30,,robust=-2.0:taper=1.0,2,3.9e+02,,7.1e+02,0.02,1.1,1,1,2.2e+04,0.54
SKA1V8,0,0,1000,-30,,natural,0,1e+02,,1.9e+02,0.05,8.6,8.2,8.4,6e+03,0.48
SKASUR,0,0,800,-30,,robust=-2.0:taper=1.0,2,7.5e+02,,1.4e+03,0.26,2.2,1.6,1.9,4.3e+04,1.3
SKA1W8-0C9B120,0,0,1400,-30,,natural,0,1.1e+02,,1.9e+02,0.07,3.5,3.8,3.6,6.1e+03,0.6
SKASUR75,0,0,800,-30,,robust=-2.0:taper=1.0,2,6.7e+02,,1.2e+03,0.14,1.6,1.3,1.5,3.9e+04,1.1
SKA1W8-12C0B120,0,0,650,-30,,robust=-2.0:taper=0,1,3.1e+02,,5.7e+02,0.06,0.85,0.8,0.82,1.8e+04,0.58
SKA1V8,0,0,800,-30,,robust=-2.0:taper=1.0,2,3.9e+02,,7e+02,0.02,1.1,1,1.1,2.2e+04,0.54
SKASUR,0,0,1000,-30,,natural,0,2.7e+02,,4.9e+02,0.01,7.2,7.2,7.2,1.5e+04,0.83
