lo0,lores,lofreq,freq,dec,resbin,ridx,weight,widx,noise166,flux10,snr10,hours,snravg,relnoise,noise50,noise50_ref2,psf_area,psf_sym,psf_mean,noise50k,speed,speed_avg
SKA1REF2,0,0,650,-10,3.0-4.0arcsec,4,natural,0,3.1,13.52,4.35,56.22,3.77,1.00,5.7,5.7,,35,0.07,3.3538,1.8e+02,31,20
SKASUR1,0,0,800,-30,0.4-2.0arcsec,1,natural,0,7.1,11.69,1.64,224.95,1.89,5.51,13,2.4,,8.3,0.41,1.6823,4.1e+02,48,69
SKA1REF2,0,0,1000,-50,2.0-3.0arcsec,3,natural,0,2.7,10.00,3.67,41.06,4.41,1.00,5,5,,17,0.05,2.3560,1.6e+02,9.2,28
SKA1W9-0A72B120,0,0,800,-30,0.4-2.0arcsec,1,natural,0,1.1,11.69,10.84,6.63,10.98,0.83,2,2.4,,2,0.11,0.7977,62,1.3e+02,1.6e+02
SKASUR,0,0,1000,-50,1.0-2.0arcsec,2,natural,0,4.1,10.00,2.45,171.14,2.16,2.00,7.4,3.7,,5.5,0.23,1.3339,2.3e+02,1.1e+02,86
SKASUR,0,0,800,-30,10.0-60.0arcmin,5,natural,0,50,11.69,0.24,13467.86,0.24,5.44,90,17,,3.1e+06,0.33,1019.1460,2.9e+03,1,1.1
SKASUR1,0,0,800,-50,2.0-3.0arcsec,3,natural,0,8.3,11.69,1.40,328.92,1.56,3.08,15,4.9,,17,0.09,2.3611,4.8e+02,36,45
SKA1REF2,0,0,650,-10,0.4-2.0arcsec,1,natural,0,1.4,13.52,9.99,9.99,8.95,1.00,2.5,2.5,,2.4,0.05,0.8747,78,1.6e+02,1.1e+02
SKASUR,0,0,650,-50,0.4-1.0arcsec,0,natural,0,29,13.52,0.47,573.82,1.18,15.43,53,3.4,,2.6,0.30,0.9181,1.7e+03,3.9,33
SKA1REF2,0,0,650,-10,10.0-60.0arcmin,5,natural,0,6.8,13.52,1.99,360.67,1.49,1.00,12,12,,2e+06,0.00,803.0837,3.9e+02,6.4,3.9
SKASUR1,0,0,650,-30,3.0-4.0arcsec,4,natural,0,10,13.52,1.30,447.96,1.34,3.25,19,5.8,,36,0.10,3.3776,6e+02,30,33
SKA1W9-12A72B120,0,0,1000,-30,10.0-60.0arcmin,5,natural,0,13,10.00,0.80,484.23,1.29,1.05,23,22,,1.9e+06,0.02,779.6576,7.2e+02,0.44,2.9
SKA1W9-12A72B120,0,0,650,-10,0.4-1.0arcsec,0,natural,0,1.4,13.52,9.58,9.07,9.39,0.74,2.6,3.5,,1.9,0.05,0.7805,81,1.5e+02,1.1e+02
SKASUR,0,0,800,-50,2.0-3.0arcsec,3,natural,0,8.2,11.69,1.43,285.08,1.68,3.02,15,4.9,,17,0.02,2.3586,4.7e+02,37,52
SKASUR,0,0,650,-10,3.0-4.0arcsec,4,natural,0,9.3,13.52,1.45,356.24,1.50,3.00,17,5.7,,35,0.10,3.3420,5.4e+02,38,42
SKASUR,0,0,800,-50,3.0-4.0arcsec,4,natural,0,9.1,11.69,1.28,322.08,1.58,2.83,17,5.9,,36,0.05,3.3658,5.3e+02,30,48
SKASUR1,0,0,800,-50,0.4-2.0arcsec,1,natural,0,7.3,11.69,1.60,226.45,1.88,5.74,13,2.3,,8.6,0.34,1.6924,4.2e+02,46,69
SKASUR1,0,0,1000,-10,1.0-2.0arcsec,2,natural,0,4.6,10.00,2.19,269.75,1.72,2.22,8.3,3.7,,6.1,0.36,1.4261,2.6e+02,87,58
SKA1REF2,0,0,800,-30,0.4-1.0arcsec,0,natural,0,1.7,11.69,6.81,18.13,6.64,1.00,3.1,3.1,,1.1,0.09,0.5982,99,50,58
SKASUR1,0,0,1000,-30,1.0-2.0arcsec,2,natural,0,4.7,10.00,2.12,285.12,1.68,2.28,8.6,3.8,,5.9,0.37,1.4122,2.7e+02,81,55
