lo0,lores,lofreq,freq,dec,resbin,ridx,weight,widx,noise166,flux10,snr10,hours,snravg,relnoise,noise50,noise50_ref2,psf_area,psf_sym,psf_mean,noise50k,speed,speed_avg
SKA1REF2,0,0,1000,-30,0.4-2.0arcsec,1,natural,0,1.3,10.00,7.75,9.88,9.00,1.00,2.4,2.4,,1.9,0.07,0.7728,74,41,1.1e+02
SKA1W9-12A72B120,0,0,800,-10,3.0-4.0arcsec,4,natural,0,3.2,11.69,3.62,58.72,3.69,1.03,5.9,5.7,,35,0.06,3.3182,1.9e+02,14,20
SKA1W9-12A72B120,0,0,800,-30,3.0-4.0arcsec,4,natural,0,3.2,11.69,3.62,61.32,3.61,1.01,5.9,5.8,,34,0.06,3.3115,1.9e+02,14,19
SKA1W9-0A72B120,0,0,800,-10,1.0-2.0arcsec,2,natural,0,1.9,11.69,6.14,17.52,6.76,0.96,3.5,3.6,,5.1,0.05,1.2748,1.1e+02,40,76
SKASUR1,0,0,1000,-50,2.0-3.0arcsec,3,natural,0,5.6,10.00,1.79,328.92,1.56,2.05,10,5,,17,0.06,2.3606,3.2e+02,58,45
SKASUR1,0,0,650,-30,0.4-1.0arcsec,0,natural,0,1e+02,13.52,0.14,2841.11,0.53,53.00,1.8e+02,3.4,,4.1,0.64,1.2833,5.7e+03,0.33,8
SKA1REF2,0,0,1000,-10,0.4-1.0arcsec,0,natural,0,1.7,10.00,5.84,18.39,6.59,1.00,3.1,3.1,,1.1,0.06,0.5893,99,23,56
SKA1REF2,0,0,650,-50,1.0-2.0arcsec,2,natural,0,2,13.52,6.66,23.15,5.88,1.00,3.7,3.7,,5.6,0.04,1.3371,1.2e+02,72,48
SKA1W9-0A72B120,0,0,800,-10,10.0-60.0arcmin,5,natural,0,9.5,11.69,1.24,442.55,1.34,1.11,17,15,,2e+06,0.03,796.6460,5.4e+02,1.6,3.2
SKASUR1,0,0,650,-30,1.0-2.0arcsec,2,natural,0,10,13.52,1.34,285.12,1.68,5.03,18,3.6,,10,0.47,1.8825,5.8e+02,32,55
SKASUR,0,0,1000,-10,0.4-1.0arcsec,0,natural,0,5.6,10.00,1.79,539.96,1.22,3.26,10,3.1,,2.2,0.31,0.8418,3.2e+02,58,35
SKA1REF2,0,0,800,-50,1.0-2.0arcsec,2,natural,0,2,11.69,5.93,23.15,5.88,1.00,3.6,3.6,,5.5,0.07,1.3273,1.1e+02,38,48
SKASUR,0,0,650,-30,3.0-4.0arcsec,4,natural,0,9.8,13.52,1.38,358.63,1.49,3.06,18,5.8,,35,0.02,3.3400,5.7e+02,34,43
SKASUR,0,0,1000,-30,0.4-2.0arcsec,1,natural,0,3.2,10.00,3.09,118.20,2.60,2.51,5.9,2.4,,4.1,0.28,1.1516,1.9e+02,1.7e+02,1.3e+02
SKASUR1,0,0,650,-50,10.0-60.0arcmin,5,natural,0,51,13.52,0.26,17715.91,0.21,7.22,94,13,,3.3e+06,0.23,1031.2536,3e+03,1.2,0.88
SKA1REF2,0,0,650,-50,0.4-1.0arcsec,0,natural,0,1.9,13.52,7.21,18.05,6.66,1.00,3.4,3.4,,1.3,0.11,0.6506,1.1e+02,84,58
SKA1REF2,0,0,1000,-10,1.0-2.0arcsec,2,natural,0,2.1,10.00,4.87,22.85,5.92,1.00,3.7,3.7,,5.6,0.02,1.3322,1.2e+02,16,50
SKA1W9-12A72B120,0,0,1000,-50,2.0-3.0arcsec,3,natural,0,2.7,10.00,3.75,37.63,4.61,0.98,4.9,5,,17,0.03,2.3470,1.5e+02,9.7,30
SKA1REF2,0,0,1000,-30,1.0-2.0arcsec,2,natural,0,2.1,10.00,4.83,23.27,5.86,1.00,3.8,3.8,,5.6,0.07,1.3383,1.2e+02,16,49
SKA1W9-0A72B120,0,0,1000,-50,1.0-2.0arcsec,2,natural,0,2.1,10.00,4.70,18.56,6.57,1.04,3.9,3.7,,5.5,0.05,1.3228,1.2e+02,15,72
SKA1W9-12A72B120,0,0,800,-30,2.0-3.0arcsec,3,natural,0,2.5,11.69,4.64,36.94,4.65,0.92,4.6,5,,17,0.07,2.3369,1.5e+02,23,31
SKASUR,0,0,800,-10,10.0-60.0arcmin,5,natural,0,47,11.69,0.25,12440.92,0.25,5.58,86,15,,3e+06,0.27,984.2465,2.7e+03,1.1,1.2
SKA1REF2,0,0,650,-30,0.4-2.0arcsec,1,natural,0,1.3,13.52,10.07,9.88,9.00,1.00,2.4,2.4,,2.3,0.12,0.8610,77,1.6e+02,1.1e+02
SKASUR1,0,0,1000,-10,0.4-2.0arcsec,1,natural,0,4.1,10.00,2.42,204.55,1.98,3.18,7.5,2.4,,6.2,0.35,1.4412,2.4e+02,1.1e+02,75
SKASUR1,0,0,650,-10,3.0-4.0arcsec,4,natural,0,11,13.52,1.25,498.88,1.27,3.47,20,5.7,,36,0.06,3.3679,6.2e+02,28,30
SKASUR1,0,0,800,-10,2.0-3.0arcsec,3,natural,0,8.7,11.69,1.34,365.05,1.48,3.23,16,4.9,,17,0.15,2.3354,5e+02,33,40
SKASUR,0,0,800,-30,0.4-1.0arcsec,0,natural,0,11,11.69,1.08,504.05,1.26,6.34,20,3.1,,2.8,0.39,0.9715,6.3e+02,21,37
SKA1W9-0A72B120,0,0,650,-50,0.4-1.0arcsec,0,natural,0,1.4,13.52,9.48,9.84,9.02,0.76,2.6,3.4,,1.9,0.14,0.7898,82,1.5e+02,1e+02
SKASUR1,0,0,1000,-50,3.0-4.0arcsec,4,natural,0,6.6,10.00,1.53,422.63,1.38,2.01,12,5.9,,35,0.17,3.3596,3.8e+02,42,35
SKA1W9-0A72B120,0,0,1000,-30,3.0-4.0arcsec,4,natural,0,4,10.00,2.49,72.89,3.31,1.26,7.3,5.8,,36,0.02,3.3682,2.3e+02,4.2,17
SKA1W9-12A72B120,0,0,650,-10,2.0-3.0arcsec,3,natural,0,2.5,13.52,5.50,35.72,4.73,0.93,4.5,4.8,,17,0.05,2.3482,1.4e+02,49,32
SKA1W9-0A72B120,0,0,800,-50,0.4-2.0arcsec,1,natural,0,1.1,11.69,10.94,6.46,11.13,0.84,1.9,2.3,,2,0.09,0.8040,62,1.3e+02,1.7e+02
SKASUR1,0,0,650,-30,2.0-3.0arcsec,3,natural,0,9.7,13.52,1.40,359.59,1.49,3.76,18,4.7,,19,0.21,2.4588,5.6e+02,35,41
SKASUR,0,0,650,-50,2.0-3.0arcsec,3,natural,0,8.1,13.52,1.67,285.08,1.68,3.06,15,4.8,,17,0.17,2.3578,4.7e+02,50,52
SKASUR,0,0,800,-50,10.0-60.0arcmin,5,natural,0,52,11.69,0.23,14114.24,0.24,5.67,94,17,,3e+06,0.20,975.8601,3e+03,0.92,1.1
SKASUR,0,0,1000,-30,1.0-2.0arcsec,2,natural,0,4.1,10.00,2.43,170.46,2.17,1.99,7.5,3.8,,5.6,0.20,1.3458,2.4e+02,1.1e+02,86
SKA1W9-0A72B120,0,0,800,-10,0.4-1.0arcsec,0,natural,0,1.3,11.69,9.00,10.32,8.81,0.76,2.4,3.1,,1.6,0.06,0.7050,75,87,94
SKA1W9-0A72B120,0,0,800,-10,3.0-4.0arcsec,4,natural,0,3.6,11.69,3.26,73.47,3.30,1.14,6.5,5.7,,34,0.06,3.3146,2.1e+02,11,17
SKA1REF2,0,0,800,-30,3.0-4.0arcsec,4,natural,0,3.2,11.69,3.66,58.58,3.70,1.00,5.8,5.8,,35,0.08,3.3419,1.8e+02,14,19
SKASUR,0,0,800,-10,1.0-2.0arcsec,2,natural,0,6.1,11.69,1.92,174.34,2.14,3.07,11,3.6,,5.7,0.24,1.3609,3.5e+02,67,84
SKASUR1,0,0,1000,-30,0.4-2.0arcsec,1,natural,0,4.2,10.00,2.37,224.95,1.89,3.27,7.7,2.4,,6.2,0.36,1.4347,2.4e+02,1e+02,69
SKA1REF2,0,0,650,-30,0.4-1.0arcsec,0,natural,0,1.9,13.52,7.19,18.13,6.64,1.00,3.4,3.4,,1.3,0.13,0.6467,1.1e+02,84,58
SKA1W9-0A72B120,0,0,800,-50,10.0-60.0arcmin,5,natural,0,9.7,11.69,1.20,478.91,1.29,1.06,18,17,,2e+06,0.06,791.0133,5.6e+02,1.6,2.9
SKASUR1,0,0,800,-30,2.0-3.0arcsec,3,natural,0,8.7,11.69,1.34,359.59,1.49,3.19,16,5,,17,0.06,2.3418,5e+02,32,41
SKA1W9-0A72B120,0,0,800,-30,2.0-3.0arcsec,3,natural,0,2.9,11.69,4.10,48.32,4.07,1.04,5.2,5,,17,0.07,2.3491,1.6e+02,18,23
SKASUR,0,0,650,-50,10.0-60.0arcmin,5,natural,0,46,13.52,0.29,14114.24,0.24,6.48,84,13,,3.4e+06,0.26,1050.6848,2.7e+03,1.5,1.1
SKASUR,0,0,1000,-50,10.0-60.0arcmin,5,natural,0,55,10.00,0.18,14114.24,0.24,4.56,1e+02,22,,2.8e+06,0.22,948.2912,3.2e+03,0.6,1.1
SKASUR,0,0,800,-30,2.0-3.0arcsec,3,natural,0,8,11.69,1.47,279.81,1.69,2.92,15,5,,17,0.19,2.3717,4.6e+02,39,52
SKA1W9-12A72B120,0,0,650,-10,0.4-2.0arcsec,1,natural,0,1,13.52,13.08,5.69,11.86,0.76,1.9,2.5,,2.9,0.05,0.9647,60,2.8e+02,1.9e+02
SKA1REF2,0,0,1000,-50,0.4-1.0arcsec,0,natural,0,1.7,10.00,5.87,18.05,6.66,1.00,3.1,3.1,,1.1,0.05,0.5885,98,24,58
SKA1W9-12A72B120,0,0,650,-30,0.4-2.0arcsec,1,natural,0,1,13.52,13.34,5.60,11.95,0.75,1.8,2.4,,2.8,0.12,0.9420,58,2.9e+02,1.9e+02
