lo0,lores,lofreq,freq,dec,resbin,ridx,weight,widx,noise166,flux10,snr10,hours,snravg,relnoise,noise50,noise50_ref2,psf_area,psf_sym,psf_mean,noise50k
SKA1W9-0A72B120,0,0,650,-10,1.0-2.0arcsec,1,natural,0,1.3,14.45,11.46,3.49,15.14,0.77,2.3,3,,4.6,0.03,1.2122,73
SKA1W9-12A72B120,0,0,650,-50,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,2.2,14.45,6.58,8.14,9.91,0.90,4,4.4,,16,0.00,2.2378,1.3e+02
SKA1W9-12A72B120,0,0,650,-10,0.4-1.0arcsec,0,natural,0,1.2,14.45,12.44,1.84,20.84,0.74,2.1,2.8,,1.9,0.05,0.7804,67
SKA1REF2,0,0,800,-50,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,1.6,12.50,7.73,4.61,13.17,1.00,2.9,2.9,,1.1,0.08,0.5959,93
SKA1REF2,0,0,800,-30,0.4-1.0arcsec,0,natural,0,1.4,12.50,8.70,3.66,14.78,1.00,2.6,2.6,,1.1,0.09,0.5982,83
SKA1REF2,0,0,650,-30,2.0-3.0arcsec,2,robust=-2.0:taper=1.0,2,2.6,14.45,5.66,10.24,8.84,1.00,4.7,4.7,,16,0.02,2.2625,1.5e+02
SKA1W9-0A72B120,0,0,650,-10,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,1.4,14.45,10.57,3.48,15.17,0.82,2.5,3,,3.3,0.04,1.0192,79
SKA1W9-0A72B120,0,0,650,-50,3.0-4.0arcsec,3,natural,0,2.8,14.45,5.20,14.53,7.42,1.06,5.1,4.8,,35,0.05,3.3509,1.6e+02
SKA1REF2,0,0,1100,-50,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,2.1,10.00,4.80,7.14,10.59,1.00,3.8,3.8,,4.3,0.01,1.1734,1.2e+02
SKA1W9-12A72B120,0,0,650,-10,3.0-4.0arcsec,3,natural,0,2.4,14.45,5.92,11.49,8.35,0.95,4.4,4.7,,35,0.06,3.3451,1.4e+02
SKA1W9-0A72B120,0,0,800,-50,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,1.3,12.50,9.44,2.98,16.37,0.85,2.4,2.8,,2.7,0.02,0.9265,76
SKA1REF2,0,0,650,-50,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,5.4,14.45,2.68,71.01,3.36,1.00,9.8,9.8,,1.7e+06,0.02,743.3065,3.1e+02
SKA1W9-0A72B120,0,0,650,-30,2.0-3.0arcsec,2,natural,0,2.4,14.45,6.08,9.81,9.03,1.12,4.3,3.9,,17,0.04,2.3510,1.4e+02
SKA1W9-0A72B120,0,0,650,-50,10.0-60.0arcmin,4,natural,0,5.8,14.45,2.49,79.52,3.17,1.04,11,10,,2e+06,0.03,799.6303,3.3e+02
