lo0,lores,lofreq,freq,dec,resbin,ridx,weight,widx,noise166,flux10,snr10,hours,snravg,relnoise,noise50,noise50_ref2,psf_area,psf_sym,psf_mean,noise50k
SKA1W9-12A72B120,0,0,650,-10,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,5.4,14.45,2.69,69.11,3.40,1.04,9.8,9.4,,1.7e+06,0.01,735.9996,3.1e+02
SKA1W9-0A72B120,0,0,650,-10,2.0-3.0arcsec,2,natural,0,2.3,14.45,6.25,9.58,9.14,1.07,4.2,3.9,,17,0.07,2.3467,1.3e+02
SKA1W9-12A72B120,0,0,800,-10,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,6.8,12.50,1.83,69.11,3.40,1.04,12,12,,2e+06,0.03,790.1905,3.9e+02
SKA1REF2,0,0,800,-50,2.0-3.0arcsec,2,natural,0,2.2,12.50,5.76,8.05,9.97,1.00,4,4,,17,0.07,2.3578,1.3e+02
SKA1W9-12A72B120,0,0,800,-30,10.0-60.0arcmin,4,natural,0,7.4,12.50,1.69,80.96,3.14,1.04,13,13,,2e+06,0.03,790.2196,4.3e+02
SKA1W9-12A72B120,0,0,650,-50,0.4-1.0arcsec,0,natural,0,1.1,14.45,13.06,1.73,21.52,0.72,2,2.8,,1.9,0.14,0.7856,64
SKA1W9-0A72B120,0,0,650,-30,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,5.8,14.45,2.51,79.73,3.17,1.05,11,10,,1.7e+06,0.04,737.8594,3.3e+02
SKA1REF2,0,0,800,-50,10.0-60.0arcmin,4,natural,0,7.1,12.50,1.76,73.87,3.29,1.00,13,13,,2e+06,0.03,789.5732,4.1e+02
SKA1REF2,0,0,1100,-10,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,1.7,10.00,5.87,4.87,12.82,1.00,3.1,3.1,,2.8,0.03,0.9369,98
SKA1REF2,0,0,800,-50,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,1.9,12.50,6.56,6.07,11.48,1.00,3.5,3.5,,5.2,0.01,1.2877,1.1e+02
SKA1W9-0A72B120,0,0,1100,-30,0.4-1.0arcsec,0,natural,0,0.98,10.00,10.24,1.97,20.15,0.70,1.8,2.5,,0.96,0.11,0.5525,56
