lo0,lores,lofreq,freq,dec,resbin,ridx,weight,widx,noise166,flux10,snr10,hours,snravg,relnoise,noise50,noise50_ref2,psf_area,psf_sym,psf_mean,noise50k,speed
SKA1REF2,0,0,800,-50,1.0-2.0arcsec,1,natural,0,2,11.69,5.75,8.03,9.98,1.00,3.7,3.7,,5.5,0.07,1.3273,1.2e+02,0.58
SKA1W9-12A72B120,0,0,800,-50,2.0-3.0arcsec,2,natural,0,2.6,11.69,4.51,12.69,7.94,0.92,4.7,5.1,,17,0.05,2.3459,1.5e+02,0.61
SKA1REF2,0,0,650,-50,0.4-1.0arcsec,0,natural,0,1.9,13.52,6.96,6.54,11.06,1.00,3.5,3.5,,1.3,0.11,0.6506,1.1e+02,2.6
SKA1REF2,0,0,1000,-10,1.0-2.0arcsec,1,natural,0,2.1,10.00,4.85,8.08,9.95,1.00,3.8,3.8,,5.6,0.02,1.3322,1.2e+02,0.6
SKA1REF2,0,0,1000,-50,2.0-3.0arcsec,2,natural,0,2.8,10.00,3.55,14.44,7.44,1.00,5.1,5.1,,17,0.05,2.3560,1.6e+02,0.54
SKA1REF2,0,0,1000,-30,1.0-2.0arcsec,1,natural,0,2.1,10.00,4.84,8.04,9.98,1.00,3.8,3.8,,5.6,0.07,1.3383,1.2e+02,0.58
SKA1W9-0A72B120,0,0,1000,-50,1.0-2.0arcsec,1,natural,0,2.2,10.00,4.53,6.53,11.07,1.06,4,3.8,,5.5,0.05,1.3228,1.3e+02,0.72
SKA1REF2,0,0,650,-50,3.0-4.0arcsec,3,natural,0,3.3,13.52,4.08,21.17,6.15,1.00,6,6,,35,0.02,3.3492,1.9e+02,0.47
SKA1REF2,0,0,1000,-50,3.0-4.0arcsec,3,natural,0,3.4,10.00,2.96,21.17,6.15,1.00,6.2,6.2,,35,0.04,3.3353,1.9e+02,0.47
SKASUR,0,0,800,-30,0.4-1.0arcsec,0,natural,0,11,11.69,1.06,178.70,2.12,6.27,20,3.2,,2.8,0.39,0.9715,6.4e+02,1
SKA1W9-0A72B120,0,0,650,-50,0.4-1.0arcsec,0,natural,0,1.5,13.52,9.20,3.53,15.04,0.76,2.7,3.5,,1.9,0.14,0.7898,85,4.9
SKA1W9-0A72B120,0,0,1000,-30,3.0-4.0arcsec,3,natural,0,4.2,10.00,2.37,25.90,5.56,1.25,7.7,6.1,,36,0.02,3.3682,2.4e+02,0.39
SKA1W9-12A72B120,0,0,800,-50,0.4-1.0arcsec,0,natural,0,1.2,11.69,9.46,3.09,16.08,0.69,2.3,3.3,,1.5,0.10,0.6993,71,5.6
SKA1W9-12A72B120,0,0,650,-50,1.0-2.0arcsec,1,natural,0,1.5,13.52,9.04,5.39,12.18,0.73,2.7,3.7,,4.7,0.01,1.2215,86,0.87
SKASUR,0,0,650,-50,2.0-3.0arcsec,2,natural,0,7.9,13.52,1.71,97.95,2.86,2.94,14,4.9,,17,0.17,2.3578,4.5e+02,1
SKASUR,0,0,800,-50,10.0-60.0arcmin,4,natural,0,51,11.69,0.23,4236.97,0.43,5.76,94,16,,3e+06,0.20,975.8601,3e+03,1
SKASUR,0,0,1000,-30,1.0-2.0arcsec,1,natural,0,4.4,10.00,2.25,60.08,3.65,2.15,8.1,3.8,,5.6,0.20,1.3458,2.6e+02,1
SKA1W9-0A72B120,0,0,800,-10,0.4-1.0arcsec,0,natural,0,1.4,11.69,8.63,3.73,14.65,0.75,2.5,3.3,,1.6,0.06,0.7050,78,3.8
SKA1W9-0A72B120,0,0,800,-10,3.0-4.0arcsec,3,natural,0,3.5,11.69,3.31,24.72,5.69,1.08,6.4,6,,34,0.06,3.3146,2e+02,0.4
SKASUR,0,0,800,-50,2.0-3.0arcsec,2,natural,0,7.9,11.69,1.48,97.95,2.86,2.82,14,5.1,,17,0.02,2.3586,4.6e+02,1
SKA1REF2,0,0,800,-30,3.0-4.0arcsec,3,natural,0,3.3,11.69,3.54,20.90,6.19,1.00,6,6,,35,0.08,3.3419,1.9e+02,0.48
SKASUR,0,0,800,-10,1.0-2.0arcsec,1,natural,0,6.1,11.69,1.91,61.56,3.60,2.97,11,3.8,,5.7,0.24,1.3609,3.5e+02,1
SKA1REF2,0,0,650,-30,0.4-1.0arcsec,0,natural,0,1.9,13.52,7.00,6.42,11.16,1.00,3.5,3.5,,1.3,0.13,0.6467,1.1e+02,2.2
SKA1W9-0A72B120,0,0,800,-50,10.0-60.0arcmin,4,natural,0,9.2,11.69,1.27,142.60,2.37,1.03,17,16,,2e+06,0.06,791.0133,5.3e+02,2.3
SKA1W9-0A72B120,0,0,800,-30,2.0-3.0arcsec,2,natural,0,3,11.69,3.91,17.05,6.85,1.07,5.5,5.1,,17,0.07,2.3491,1.7e+02,0.46
SKASUR,0,0,650,-50,10.0-60.0arcmin,4,natural,0,46,13.52,0.29,4236.97,0.43,6.60,84,13,,3.4e+06,0.26,1050.6848,2.7e+03,1
SKASUR,0,0,1000,-50,10.0-60.0arcmin,4,natural,0,44,10.00,0.23,4236.97,0.43,3.83,80,21,,2.8e+06,0.22,948.2912,2.5e+03,1
SKASUR,0,0,800,-30,2.0-3.0arcsec,2,natural,0,7.9,11.69,1.48,97.28,2.87,2.84,14,5.1,,17,0.19,2.3717,4.6e+02,1
SKA1REF2,0,0,1000,-50,0.4-1.0arcsec,0,natural,0,1.8,10.00,5.59,6.54,11.06,1.00,3.3,3.3,,1.1,0.05,0.5885,1e+02,2.6
SKA1W9-12A72B120,0,0,1000,-50,0.4-1.0arcsec,0,natural,0,1.2,10.00,8.62,3.09,16.08,0.65,2.1,3.3,,1.1,0.09,0.5997,67,5.6
