lo0,lores,lofreq,freq,dec,resbin,ridx,weight,widx,noise166,flux10,snr10,hours,snravg,relnoise,noise50,noise50_ref2,psf_area,psf_sym,psf_mean,noise50k,speed
SKA1W9-12A72B120,0,0,800,-10,1.0-2.0arcsec,1,natural,0,1.8,11.69,6.62,5.18,12.43,0.86,3.2,3.8,,5.1,0.05,1.2789,1e+02,0.93
SKASUR,0,0,800,-10,0.4-1.0arcsec,0,natural,0,11,11.69,1.02,180.10,2.11,6.37,21,3.3,,2.6,0.30,0.9310,6.6e+02,1
SKA1REF2,0,0,650,-50,2.0-3.0arcsec,2,natural,0,2.7,13.52,5.05,14.44,7.44,1.00,4.9,4.9,,17,0.06,2.3407,1.5e+02,0.54
SKA1W9-12A72B120,0,0,650,-30,10.0-60.0arcmin,4,natural,0,7.6,13.52,1.77,150.97,2.30,1.08,14,13,,2e+06,0.02,800.2765,4.4e+02,2.1
SKA1REF2,0,0,800,-10,0.4-1.0arcsec,0,natural,0,1.8,11.69,6.51,6.68,10.94,1.00,3.3,3.3,,1.1,0.06,0.5991,1e+02,2.1
SKA1W9-12A72B120,0,0,1000,-50,2.0-3.0arcsec,2,natural,0,2.7,10.00,3.73,12.69,7.94,0.95,4.9,5.1,,17,0.03,2.3470,1.5e+02,0.61
SKA1W9-12A72B120,0,0,650,-10,10.0-60.0arcmin,4,natural,0,7.1,13.52,1.89,133.33,2.45,1.06,13,12,,2e+06,0.02,804.3002,4.1e+02,2.3
SKA1W9-12A72B120,0,0,800,-30,1.0-2.0arcsec,1,natural,0,1.8,11.69,6.42,5.48,12.08,0.89,3.3,3.7,,5.2,0.00,1.2901,1e+02,0.85
SKA1W9-0A72B120,0,0,1000,-50,10.0-60.0arcmin,4,natural,0,12,10.00,0.82,142.60,2.37,1.06,22,21,,1.9e+06,0.01,780.1457,7e+02,2.3
SKA1REF2,0,0,650,-30,1.0-2.0arcsec,1,natural,0,2.1,13.52,6.58,8.04,9.98,1.00,3.7,3.7,,5.6,0.07,1.3381,1.2e+02,0.58
SKA1W9-12A72B120,0,0,1000,-30,0.4-1.0arcsec,0,natural,0,1.2,10.00,8.60,3.18,15.87,0.65,2.1,3.2,,1.1,0.11,0.5942,67,4.4
SKA1W9-12A72B120,0,0,800,-50,3.0-4.0arcsec,3,natural,0,3.3,11.69,3.54,20.34,6.27,0.99,6,6.1,,34,0.06,3.3146,1.9e+02,0.49
SKA1W9-0A72B120,0,0,800,-10,2.0-3.0arcsec,2,natural,0,3,11.69,3.93,16.53,6.96,1.09,5.4,5,,17,0.01,2.3564,1.7e+02,0.45
SKA1W9-12A72B120,0,0,1000,-30,3.0-4.0arcsec,3,natural,0,3.8,10.00,2.65,21.51,6.10,1.12,6.9,6.1,,35,0.02,3.3330,2.2e+02,0.46
SKASUR,0,0,1000,-50,3.0-4.0arcsec,3,natural,0,5.7,10.00,1.76,114.55,2.64,1.68,10,6.2,,36,0.04,3.3719,3.3e+02,1.1
SKASUR,0,0,650,-10,0.4-1.0arcsec,0,natural,0,26,13.52,0.52,180.10,2.11,12.96,47,3.7,,2.5,0.30,0.9123,1.5e+03,1
SKASUR,0,0,1000,-50,0.4-1.0arcsec,0,natural,0,6.4,10.00,1.57,221.98,1.90,3.55,12,3.3,,2.1,0.25,0.8348,3.7e+02,1
SKASUR,0,0,1000,-10,1.0-2.0arcsec,1,natural,0,4.5,10.00,2.25,61.56,3.60,2.16,8.1,3.8,,5.6,0.18,1.3455,2.6e+02,1
SKA1W9-12A72B120,0,0,800,-10,10.0-60.0arcmin,4,natural,0,9.1,11.69,1.29,133.33,2.45,1.07,17,15,,2e+06,0.02,800.5580,5.2e+02,2.3
SKA1W9-0A72B120,0,0,1000,-30,2.0-3.0arcsec,2,natural,0,3,10.00,3.38,17.05,6.85,1.07,5.4,5,,17,0.08,2.3385,1.7e+02,0.46
SKA1W9-12A72B120,0,0,650,-50,3.0-4.0arcsec,3,natural,0,3.1,13.52,4.41,20.34,6.27,0.93,5.6,6,,35,0.02,3.3382,1.8e+02,0.49
SKA1REF2,0,0,650,-10,0.4-1.0arcsec,0,natural,0,2,13.52,6.75,6.68,10.94,1.00,3.7,3.7,,1.3,0.05,0.6531,1.2e+02,2.1
SKA1W9-12A72B120,0,0,1000,-10,1.0-2.0arcsec,1,natural,0,1.9,10.00,5.23,5.18,12.43,0.93,3.5,3.8,,5.5,0.03,1.3194,1.1e+02,0.93
SKA1W9-12A72B120,0,0,1000,-30,1.0-2.0arcsec,1,natural,0,1.9,10.00,5.13,5.48,12.08,0.94,3.6,3.8,,5.6,0.06,1.3310,1.1e+02,0.85
SKASUR,0,0,800,-10,2.0-3.0arcsec,2,natural,0,7.4,11.69,1.58,93.54,2.92,2.70,13,5,,18,0.19,2.3863,4.3e+02,1
SKA1REF2,0,0,1000,-30,0.4-1.0arcsec,0,natural,0,1.8,10.00,5.63,6.42,11.16,1.00,3.2,3.2,,1.1,0.07,0.5900,1e+02,2.2
SKASUR,0,0,650,-10,2.0-3.0arcsec,2,natural,0,7.7,13.52,1.75,93.54,2.92,2.82,14,5,,17,0.17,2.3644,4.5e+02,1
SKASUR,0,0,1000,-30,3.0-4.0arcsec,3,natural,0,5.9,10.00,1.69,128.26,2.50,1.76,11,6.1,,36,0.09,3.3764,3.4e+02,1
SKA1W9-0A72B120,0,0,650,-10,0.4-1.0arcsec,0,natural,0,1.5,13.52,8.76,3.73,14.65,0.77,2.8,3.7,,1.9,0.05,0.7844,89,3.8
SKA1REF2,0,0,650,-10,3.0-4.0arcsec,3,natural,0,3.2,13.52,4.19,20.19,6.29,1.00,5.9,5.9,,35,0.07,3.3538,1.9e+02,0.5
SKA1REF2,0,0,1000,-10,3.0-4.0arcsec,3,natural,0,3.3,10.00,3.05,20.19,6.29,1.00,6,6,,35,0.01,3.3235,1.9e+02,0.5
SKA1W9-12A72B120,0,0,650,-50,10.0-60.0arcmin,4,natural,0,7.4,13.52,1.82,143.13,2.36,1.06,14,13,,2e+06,0.01,801.5350,4.3e+02,2.3
SKA1W9-12A72B120,0,0,800,-30,0.4-1.0arcsec,0,natural,0,1.3,11.69,9.33,3.18,15.87,0.71,2.3,3.2,,1.5,0.13,0.6943,72,4.4
SKA1REF2,0,0,1000,-30,3.0-4.0arcsec,3,natural,0,3.4,10.00,2.97,20.90,6.19,1.00,6.1,6.1,,35,0.05,3.3324,1.9e+02,0.48
SKASUR,0,0,1000,-30,10.0-60.0arcmin,4,natural,0,42,10.00,0.24,4089.32,0.44,3.62,76,21,,2.7e+06,0.25,933.7548,2.4e+03,1
SKASUR,0,0,1000,-30,2.0-3.0arcsec,2,natural,0,5.9,10.00,1.69,97.28,2.87,2.14,11,5,,17,0.01,2.3584,3.4e+02,1
SKASUR,0,0,1000,-10,10.0-60.0arcmin,4,natural,0,43,10.00,0.23,3923.30,0.45,3.91,78,20,,2.8e+06,0.25,948.5896,2.5e+03,1
SKA1W9-12A72B120,0,0,800,-50,1.0-2.0arcsec,1,natural,0,1.8,11.69,6.32,5.39,12.18,0.91,3.4,3.7,,5.2,0.00,1.2817,1.1e+02,0.87
SKA1W9-0A72B120,0,0,800,-30,10.0-60.0arcmin,4,natural,0,9.5,11.69,1.23,143.82,2.36,1.05,17,16,,2e+06,0.03,795.5474,5.5e+02,2.2
SKA1W9-0A72B120,0,0,1000,-50,3.0-4.0arcsec,3,natural,0,4.1,10.00,2.41,25.14,5.64,1.23,7.6,6.2,,35,0.05,3.3508,2.4e+02,0.4
SKA1W9-12A72B120,0,0,650,-30,0.4-1.0arcsec,0,natural,0,1.4,13.52,9.52,3.18,15.87,0.74,2.6,3.5,,1.9,0.16,0.7823,82,4.4
SKA1W9-0A72B120,0,0,800,-50,2.0-3.0arcsec,2,natural,0,3,11.69,3.90,17.21,6.82,1.07,5.5,5.1,,17,0.03,2.3501,1.7e+02,0.45
SKASUR,0,0,650,-30,2.0-3.0arcsec,2,natural,0,7.6,13.52,1.79,97.28,2.87,2.83,14,4.9,,17,0.24,2.3604,4.4e+02,1
SKA1W9-12A72B120,0,0,1000,-50,1.0-2.0arcsec,1,natural,0,1.9,10.00,5.16,5.39,12.18,0.93,3.5,3.8,,5.6,0.06,1.3358,1.1e+02,0.87
SKA1W9-0A72B120,0,0,1000,-30,1.0-2.0arcsec,1,natural,0,2.2,10.00,4.59,6.75,10.89,1.06,4,3.8,,5.4,0.07,1.3117,1.3e+02,0.69
SKA1REF2,0,0,650,-50,1.0-2.0arcsec,1,natural,0,2,13.52,6.61,8.03,9.98,1.00,3.7,3.7,,5.6,0.04,1.3371,1.2e+02,0.58
SKA1REF2,0,0,800,-50,3.0-4.0arcsec,3,natural,0,3.3,11.69,3.52,21.17,6.15,1.00,6.1,6.1,,35,0.08,3.3441,1.9e+02,0.47
SKASUR,0,0,800,-10,10.0-60.0arcmin,4,natural,0,47,11.69,0.25,3923.30,0.45,5.55,85,15,,3e+06,0.27,984.2465,2.7e+03,1
SKASUR,0,0,1000,-50,1.0-2.0arcsec,1,natural,0,4.4,10.00,2.28,60.29,3.64,2.10,8,3.8,,5.5,0.23,1.3339,2.5e+02,1
SKASUR,0,0,650,-50,0.4-1.0arcsec,0,natural,0,29,13.52,0.46,221.98,1.90,15.05,53,3.5,,2.6,0.30,0.9181,1.7e+03,1
SKA1REF2,0,0,650,-10,10.0-60.0arcmin,4,natural,0,6.7,13.52,2.01,117.84,2.61,1.00,12,12,,2e+06,0.00,803.0837,3.9e+02,2.6
SKA1W9-12A72B120,0,0,1000,-30,10.0-60.0arcmin,4,natural,0,12,10.00,0.81,150.97,2.30,1.06,22,21,,1.9e+06,0.02,779.6576,7.1e+02,2.1
SKA1W9-12A72B120,0,0,650,-10,0.4-1.0arcsec,0,natural,0,1.5,13.52,9.08,3.41,15.32,0.74,2.7,3.7,,1.9,0.05,0.7805,86,4.1
SKA1W9-12A72B120,0,0,650,-10,2.0-3.0arcsec,2,natural,0,2.5,13.52,5.31,12.96,7.86,0.93,4.6,5,,17,0.05,2.3482,1.5e+02,0.57
SKASUR,0,0,650,-10,3.0-4.0arcsec,3,natural,0,9.1,13.52,1.48,126.10,2.52,2.83,17,5.9,,35,0.10,3.3420,5.3e+02,1
SKASUR,0,0,800,-50,3.0-4.0arcsec,3,natural,0,9,11.69,1.31,114.55,2.64,2.69,16,6.1,,36,0.05,3.3658,5.2e+02,1.1
SKA1REF2,0,0,1000,-10,2.0-3.0arcsec,2,natural,0,2.8,10.00,3.59,14.40,7.45,1.00,5.1,5.1,,17,0.05,2.3458,1.6e+02,0.51
SKA1W9-0A72B120,0,0,1000,-30,0.4-1.0arcsec,0,natural,0,1.2,10.00,8.02,3.46,15.21,0.70,2.3,3.2,,1.1,0.12,0.5919,72,4
SKA1REF2,0,0,800,-30,0.4-1.0arcsec,0,natural,0,1.8,11.69,6.62,6.42,11.16,1.00,3.2,3.2,,1.1,0.09,0.5982,1e+02,2.2
SKA1W9-0A72B120,0,0,1000,-10,0.4-1.0arcsec,0,natural,0,1.3,10.00,7.97,3.73,14.65,0.71,2.3,3.2,,1.1,0.05,0.6039,72,3.8
SKA1REF2,0,0,1000,-50,10.0-60.0arcmin,4,natural,0,11,10.00,0.87,129.41,2.49,1.00,21,21,,1.9e+06,0.02,776.9439,6.6e+02,2.6
SKA1W9-0A72B120,0,0,800,-30,3.0-4.0arcsec,3,natural,0,3.7,11.69,3.20,25.90,5.56,1.11,6.7,6,,34,0.07,3.3034,2.1e+02,0.39
SKA1W9-0A72B120,0,0,650,-50,3.0-4.0arcsec,3,natural,0,3.5,13.52,3.85,25.14,5.64,1.06,6.4,6,,35,0.05,3.3509,2e+02,0.4
SKASUR,0,0,800,-30,1.0-2.0arcsec,1,natural,0,6,11.69,1.96,60.08,3.65,2.93,11,3.7,,5.9,0.22,1.3846,3.4e+02,1
SKA1W9-0A72B120,0,0,650,-30,1.0-2.0arcsec,1,natural,0,1.7,13.52,8.18,6.75,10.89,0.80,3,3.7,,4.6,0.00,1.2108,95,0.69
SKA1W9-12A72B120,0,0,650,-10,3.0-4.0arcsec,3,natural,0,3,13.52,4.47,20.23,6.29,0.94,5.5,5.9,,35,0.06,3.3451,1.7e+02,0.49
SKA1W9-12A72B120,0,0,1000,-10,10.0-60.0arcmin,4,natural,0,11,10.00,0.87,133.33,2.45,1.05,21,20,,2e+06,0.01,788.0923,6.6e+02,2.3
SKA1REF2,0,0,800,-10,3.0-4.0arcsec,3,natural,0,3.3,11.69,3.57,20.19,6.29,1.00,6,6,,35,0.06,3.3418,1.9e+02,0.5
SKA1W9-0A72B120,0,0,800,-30,0.4-1.0arcsec,0,natural,0,1.3,11.69,9.12,3.46,15.21,0.73,2.3,3.2,,1.5,0.13,0.6954,74,4
SKASUR,0,0,650,-30,3.0-4.0arcsec,3,natural,0,9.9,13.52,1.37,128.26,2.50,3.00,18,6,,35,0.02,3.3400,5.7e+02,1
SKA1W9-0A72B120,0,0,650,-10,2.0-3.0arcsec,2,natural,0,2.9,13.52,4.65,16.53,6.96,1.06,5.3,5,,17,0.07,2.3467,1.7e+02,0.45
SKASUR,0,0,650,-30,0.4-1.0arcsec,0,natural,0,25,13.52,0.54,178.70,2.12,12.88,45,3.5,,2.7,0.38,0.9509,1.4e+03,1
SKA1W9-0A72B120,0,0,650,-30,2.0-3.0arcsec,2,natural,0,3,13.52,4.50,17.05,6.85,1.13,5.5,4.9,,17,0.04,2.3510,1.7e+02,0.46
SKA1W9-12A72B120,0,0,650,-30,2.0-3.0arcsec,2,natural,0,2.6,13.52,5.24,13.17,7.79,0.97,4.7,4.9,,18,0.05,2.3683,1.5e+02,0.59
SKA1REF2,0,0,800,-50,2.0-3.0arcsec,2,natural,0,2.8,11.69,4.16,14.44,7.44,1.00,5.1,5.1,,17,0.07,2.3578,1.6e+02,0.54
SKASUR,0,0,1000,-50,2.0-3.0arcsec,2,natural,0,5.7,10.00,1.75,97.95,2.86,2.03,10,5.1,,18,0.10,2.3773,3.3e+02,1
SKA1W9-12A72B120,0,0,800,-30,10.0-60.0arcmin,4,natural,0,9.5,11.69,1.23,150.97,2.30,1.05,17,16,,2e+06,0.02,799.6040,5.5e+02,2.1
SKA1W9-12A72B120,0,0,650,-50,0.4-1.0arcsec,0,natural,0,1.4,13.52,9.74,3.09,16.08,0.72,2.5,3.5,,1.9,0.14,0.7856,80,5.6
SKA1W9-0A72B120,0,0,650,-50,10.0-60.0arcmin,4,natural,0,7.4,13.52,1.82,142.60,2.37,1.06,14,13,,2e+06,0.03,799.6301,4.3e+02,2.3
SKA1REF2,0,0,650,-10,1.0-2.0arcsec,1,natural,0,2.1,13.52,6.59,8.08,9.95,1.00,3.7,3.7,,5.6,0.02,1.3304,1.2e+02,0.6
SKA1REF2,0,0,1000,-30,2.0-3.0arcsec,2,natural,0,2.8,10.00,3.61,14.20,7.51,1.00,5,5,,18,0.07,2.3650,1.6e+02,0.55
SKA1W9-12A72B120,0,0,800,-10,0.4-1.0arcsec,0,natural,0,1.3,11.69,9.07,3.41,15.32,0.72,2.3,3.3,,1.6,0.06,0.7033,74,4.1
SKA1REF2,0,0,800,-50,10.0-60.0arcmin,4,natural,0,8.9,11.69,1.31,129.41,2.49,1.00,16,16,,2e+06,0.03,789.5732,5.1e+02,2.6
SKASUR,0,0,650,-10,1.0-2.0arcsec,1,natural,0,6.5,13.52,2.08,61.56,3.60,3.17,12,3.7,,6.6,0.27,1.4621,3.8e+02,1
SKASUR,0,0,800,-50,0.4-1.0arcsec,0,natural,0,12,11.69,0.96,221.98,1.90,6.82,22,3.3,,2.6,0.24,0.9227,7e+02,1
SKA1W9-12A72B120,0,0,800,-10,2.0-3.0arcsec,2,natural,0,2.7,11.69,4.37,12.96,7.86,0.98,4.9,5,,17,0.01,2.3480,1.5e+02,0.57
SKA1REF2,0,0,650,-50,10.0-60.0arcmin,4,natural,0,7,13.52,1.92,129.41,2.49,1.00,13,13,,2e+06,0.02,799.8338,4e+02,2.6
SKA1REF2,0,0,800,-10,2.0-3.0arcsec,2,natural,0,2.7,11.69,4.27,14.40,7.45,1.00,5,5,,17,0.02,2.3504,1.6e+02,0.51
SKASUR,0,0,1000,-10,2.0-3.0arcsec,2,natural,0,5.8,10.00,1.73,93.54,2.92,2.08,11,5.1,,17,0.06,2.3467,3.3e+02,1
SKA1W9-12A72B120,0,0,1000,-10,0.4-1.0arcsec,0,natural,0,1.2,10.00,8.37,3.41,15.32,0.67,2.2,3.2,,1.2,0.05,0.6060,69,4.1
SKA1REF2,0,0,1000,-10,10.0-60.0arcmin,4,natural,0,11,10.00,0.92,117.84,2.61,1.00,20,20,,1.9e+06,0.02,777.0623,6.3e+02,2.6
SKA1REF2,0,0,1000,-50,1.0-2.0arcsec,1,natural,0,2.1,10.00,4.79,8.03,9.98,1.00,3.8,3.8,,5.6,0.07,1.3392,1.2e+02,0.58
SKA1W9-0A72B120,0,0,1000,-30,10.0-60.0arcmin,4,natural,0,12,10.00,0.84,143.82,2.36,1.03,22,21,,1.9e+06,0.00,778.5533,6.8e+02,2.2
SKA1W9-0A72B120,0,0,1000,-10,2.0-3.0arcsec,2,natural,0,3,10.00,3.37,16.53,6.96,1.06,5.4,5.1,,17,0.04,2.3337,1.7e+02,0.45
SKA1W9-0A72B120,0,0,650,-50,2.0-3.0arcsec,2,natural,0,3,13.52,4.47,17.21,6.82,1.13,5.5,4.9,,17,0.04,2.3412,1.7e+02,0.45
SKA1REF2,0,0,650,-30,3.0-4.0arcsec,3,natural,0,3.3,13.52,4.11,20.90,6.19,1.00,6,6,,36,0.06,3.3694,1.9e+02,0.48
SKA1REF2,0,0,650,-30,10.0-60.0arcmin,4,natural,0,7,13.52,1.92,131.24,2.47,1.00,13,13,,2e+06,0.02,797.2881,4.1e+02,2.4
SKASUR,0,0,800,-10,3.0-4.0arcsec,3,natural,0,9.4,11.69,1.24,126.10,2.52,2.88,17,6,,36,0.02,3.3622,5.4e+02,1
SKA1REF2,0,0,800,-10,1.0-2.0arcsec,1,natural,0,2.1,11.69,5.67,8.08,9.95,1.00,3.8,3.8,,5.6,0.06,1.3298,1.2e+02,0.6
SKA1W9-0A72B120,0,0,800,-50,0.4-1.0arcsec,0,natural,0,1.3,11.69,8.87,3.53,15.04,0.74,2.4,3.3,,1.5,0.10,0.7010,76,4.9
SKA1REF2,0,0,800,-30,1.0-2.0arcsec,1,natural,0,2,11.69,5.73,8.04,9.98,1.00,3.7,3.7,,5.5,0.08,1.3297,1.2e+02,0.58
SKA1W9-0A72B120,0,0,650,-10,3.0-4.0arcsec,3,natural,0,3.4,13.52,3.96,24.72,5.69,1.06,6.2,5.9,,35,0.04,3.3469,2e+02,0.4
SKA1W9-12A72B120,0,0,650,-30,1.0-2.0arcsec,1,natural,0,1.5,13.52,8.86,5.48,12.08,0.74,2.8,3.7,,4.7,0.01,1.2238,88,0.85
SKA1W9-0A72B120,0,0,650,-30,3.0-4.0arcsec,3,natural,0,3.5,13.52,3.88,25.90,5.56,1.06,6.4,6,,35,0.08,3.3389,2e+02,0.39
SKASUR,0,0,1000,-30,0.4-1.0arcsec,0,natural,0,5.7,10.00,1.75,178.70,2.12,3.22,10,3.2,,2.1,0.34,0.8443,3.3e+02,1
SKASUR,0,0,1000,-10,3.0-4.0arcsec,3,natural,0,6.2,10.00,1.62,126.10,2.52,1.89,11,6,,36,0.10,3.3841,3.6e+02,1
SKA1REF2,0,0,800,-30,2.0-3.0arcsec,2,natural,0,2.8,11.69,4.19,14.20,7.51,1.00,5.1,5.1,,17,0.06,2.3511,1.6e+02,0.55
SKA1W9-0A72B120,0,0,1000,-10,10.0-60.0arcmin,4,natural,0,11,10.00,0.87,127.98,2.50,1.05,21,20,,1.9e+06,0.02,787.4903,6.6e+02,2.4
SKA1W9-0A72B120,0,0,1000,-50,2.0-3.0arcsec,2,natural,0,3,10.00,3.36,17.21,6.82,1.06,5.4,5.1,,17,0.05,2.3382,1.7e+02,0.45
SKASUR,0,0,800,-30,10.0-60.0arcmin,4,natural,0,52,11.69,0.23,4089.32,0.44,5.71,94,16,,3.1e+06,0.33,1019.1460,3e+03,1
SKA1REF2,0,0,650,-30,2.0-3.0arcsec,2,natural,0,2.7,13.52,5.07,14.20,7.51,1.00,4.9,4.9,,17,0.08,2.3465,1.5e+02,0.55
SKA1W9-12A72B120,0,0,800,-10,3.0-4.0arcsec,3,natural,0,3.3,11.69,3.49,20.23,6.29,1.02,6.1,6,,35,0.06,3.3182,1.9e+02,0.49
SKA1W9-12A72B120,0,0,800,-30,3.0-4.0arcsec,3,natural,0,3.3,11.69,3.52,21.51,6.10,1.01,6.1,6,,34,0.06,3.3115,1.9e+02,0.46
SKA1W9-0A72B120,0,0,800,-10,1.0-2.0arcsec,1,natural,0,2,11.69,5.94,6.22,11.34,0.96,3.6,3.8,,5.1,0.05,1.2748,1.1e+02,0.78
SKA1REF2,0,0,1000,-10,0.4-1.0arcsec,0,natural,0,1.8,10.00,5.64,6.68,10.94,1.00,3.2,3.2,,1.1,0.06,0.5893,1e+02,2.1
SKA1W9-0A72B120,0,0,800,-10,10.0-60.0arcmin,4,natural,0,8.5,11.69,1.37,127.98,2.50,1.01,16,15,,2e+06,0.03,796.6460,4.9e+02,2.4
SKASUR,0,0,1000,-10,0.4-1.0arcsec,0,natural,0,5.7,10.00,1.77,180.10,2.11,3.19,10,3.2,,2.2,0.31,0.8418,3.3e+02,1
