lo0,lores,lofreq,freq,dec,resbin,ridx,weight,widx,noise166,flux10,snr10,hours,snravg,relnoise,noise50,noise50_ref2,psf_area,psf_sym,psf_mean,noise50k,speed
SKA1REF2,0,0,1100,-50,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,2,10.00,5.08,12.20,8.10,1.00,3.6,3.6,,4.3,0.01,1.1734,1.1e+02,0.11
SKA1W9-12A72B120,0,0,650,-10,3.0-4.0arcsec,3,natural,0,3.6,14.45,3.97,19.94,6.33,0.95,6.6,7,,35,0.06,3.3451,2.1e+02,0.07
SKASUR,0,0,1100,-10,2.0-3.0arcsec,2,robust=-2.0:taper=1.0,2,2.8,10.00,3.61,25.27,5.63,1.18,5,4.3,,16,0.05,2.2900,1.6e+02,0.71
SKA1W9-0A72B120,0,0,800,-50,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,2.2,12.50,5.79,6.15,11.40,0.84,3.9,4.7,,3.3,0.00,1.0273,1.2e+02,0.23
SKA1REF2,0,0,650,-50,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,8,14.45,1.80,136.84,2.42,1.00,15,15,,1.7e+06,0.02,743.3363,4.6e+02,0.01
SKA1W9-0A72B120,0,0,650,-30,2.0-3.0arcsec,2,natural,0,3.4,14.45,4.24,16.31,7.00,1.10,6.2,5.7,,17,0.04,2.3510,2e+02,0.086
SKA1W9-0A72B120,0,0,650,-50,10.0-60.0arcmin,4,natural,0,8.6,14.45,1.69,151.22,2.30,1.04,16,15,,2e+06,0.03,799.6301,4.9e+02,0.0093
SKA1REF2,0,0,1100,-50,1.0-2.0arcsec,1,natural,0,1.6,10.00,6.39,7.72,10.18,1.00,2.9,2.9,,5.6,0.05,1.3342,90,0.18
SKA1W9-12A72B120,0,0,1100,-50,2.0-3.0arcsec,2,robust=-2.0:taper=1.0,2,2,10.00,5.00,13.17,7.79,0.97,3.6,3.8,,16,0.01,2.2489,1.2e+02,0.11
SKA1W9-0A72B120,0,0,650,-50,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,4.3,14.45,3.33,27.21,5.42,1.13,7.9,7,,33,0.01,3.2598,2.5e+02,0.051
SKA1W9-12A72B120,0,0,650,-30,3.0-4.0arcsec,3,robust=-2.0:taper=0,1,3.8,14.45,3.82,20.44,6.26,0.94,6.9,7.3,,33,0.00,3.2512,2.2e+02,0.069
SKASUR,0,0,800,-30,2.0-3.0arcsec,2,natural,0,4,12.50,3.15,18.50,6.58,1.22,7.2,5.9,,17,0.19,2.3717,2.3e+02,0.97
SKA1W9-12A72B120,0,0,1100,-10,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,1.9,10.00,5.27,7.93,10.04,0.87,3.5,4,,4.3,0.01,1.1665,1.1e+02,0.18
SKASUR,0,0,650,-30,1.0-2.0arcsec,1,natural,0,3.3,14.45,4.44,11.85,8.22,1.36,5.9,4.4,,6.5,0.29,1.4600,1.9e+02,1.5
SKA1W9-12A72B120,0,0,800,-30,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,2.3,12.50,5.49,7.04,10.66,0.73,4.1,5.7,,4.1,0.01,1.1411,1.3e+02,0.2
SKA1W9-12A72B120,0,0,650,-10,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,8,14.45,1.80,138.29,2.41,1.05,15,14,,1.7e+06,0.02,738.8367,4.6e+02,0.01
SKA1W9-0A72B120,0,0,650,-50,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,2.1,14.45,6.75,5.97,11.58,0.72,3.9,5.4,,3.5,0.00,1.0514,1.2e+02,0.23
SKA1W9-12A72B120,0,0,1100,-30,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,10,10.00,0.98,160.25,2.23,1.06,19,18,,1.8e+06,0.05,762.3781,5.9e+02,0.0087
SKA1W9-0A72B120,0,0,650,-50,2.0-3.0arcsec,2,natural,0,3.4,14.45,4.23,16.53,6.96,1.10,6.2,5.6,,17,0.04,2.3412,2e+02,0.085
SKA1REF2,0,0,650,-30,3.0-4.0arcsec,3,natural,0,3.8,14.45,3.79,19.52,6.40,1.00,7,7,,36,0.06,3.3694,2.2e+02,0.072
SKA1W9-0A72B120,0,0,1100,-30,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,2,10.00,5.12,9.28,9.29,1.07,3.6,3.3,,5,0.00,1.2676,1.1e+02,0.15
SKA1W9-12A72B120,0,0,1100,-10,1.0-2.0arcsec,1,natural,0,1.5,10.00,6.86,5.12,12.50,0.95,2.7,2.8,,5.5,0.00,1.3190,84,0.27
SKA1REF2,0,0,1100,-30,1.0-2.0arcsec,1,natural,0,1.6,10.00,6.43,7.64,10.23,1.00,2.8,2.8,,5.6,0.08,1.3327,90,0.18
SKA1REF2,0,0,1100,-10,3.0-4.0arcsec,3,robust=-2.0:taper=0,1,2.5,10.00,3.94,23.34,5.85,1.00,4.6,4.6,,33,0.00,3.2557,1.5e+02,0.06
SKA1W9-0A72B120,0,0,1100,-10,10.0-60.0arcmin,4,natural,0,9.3,10.00,1.08,139.62,2.39,1.04,17,16,,1.9e+06,0.01,773.3044,5.4e+02,0.01
SKASUR,0,0,1100,-30,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,1.9,10.00,5.34,12.18,8.10,0.93,3.4,3.7,,4.9,0.12,1.2456,1.1e+02,1.5
SKASUR,0,0,650,-10,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,23,14.45,0.63,856.74,0.97,2.97,42,14,,3.3e+06,0.35,1054.9962,1.3e+03,0.021
SKA1W9-12A72B120,0,0,650,-30,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,8.7,14.45,1.66,160.25,2.23,1.10,16,14,,1.7e+06,0.04,737.3804,5e+02,0.0087
SKA1W9-0A72B120,0,0,800,-50,3.0-4.0arcsec,3,robust=-2.0:taper=0,1,4.5,12.50,2.81,27.44,5.40,1.18,8.1,6.9,,33,0.00,3.2477,2.6e+02,0.051
SKA1W9-0A72B120,0,0,800,-10,10.0-60.0arcmin,4,natural,0,10,12.50,1.23,139.62,2.39,1.05,19,18,,2e+06,0.03,796.6460,5.9e+02,0.01
SKA1REF2,0,0,1100,-10,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,2,10.00,5.03,12.36,8.05,1.00,3.6,3.6,,5.2,0.00,1.2876,1.1e+02,0.11
SKA1REF2,0,0,1100,-10,2.0-3.0arcsec,2,natural,0,2.1,10.00,4.73,13.81,7.61,1.00,3.9,3.9,,17,0.07,2.3478,1.2e+02,0.1
SKA1W9-0A72B120,0,0,1100,-10,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,2.3,10.00,4.39,10.45,8.75,1.05,4.2,4,,4.3,0.02,1.1742,1.3e+02,0.13
SKA1REF2,0,0,650,-30,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,4,14.45,3.61,19.17,6.46,1.00,7.3,7.3,,33,0.01,3.2638,2.3e+02,0.073
SKA1W9-12A72B120,0,0,800,-10,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,3.6,12.50,3.46,17.07,6.84,0.89,6.6,7.4,,16,0.01,2.2355,2.1e+02,0.082
SKASUR,0,0,800,-10,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,3.1,12.50,3.98,11.55,8.32,1.00,5.7,5.7,,5.4,0.26,1.3267,1.8e+02,1.6
SKA1W9-0A72B120,0,0,1100,-10,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,2.9,10.00,3.46,26.66,5.48,1.21,5.3,4.4,,16,0.00,2.2391,1.7e+02,0.053
SKA1W9-12A72B120,0,0,650,-10,2.0-3.0arcsec,2,natural,0,3,14.45,4.81,12.51,8.00,0.94,5.5,5.8,,17,0.05,2.3482,1.7e+02,0.11
SKA1W9-12A72B120,0,0,800,-50,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,2.2,12.50,5.69,6.27,11.30,0.78,4,5.1,,4.9,0.00,1.2440,1.3e+02,0.22
SKASUR,0,0,650,-50,2.0-3.0arcsec,2,natural,0,4,14.45,3.59,18.67,6.55,1.30,7.3,5.6,,17,0.17,2.3578,2.3e+02,0.96
SKA1REF2,0,0,1100,-30,0.4-1.0arcsec,0,natural,0,1.3,10.00,7.61,5.95,11.60,1.00,2.4,2.4,,1.1,0.06,0.5872,76,0.24
SKASUR,0,0,650,-10,3.0-4.0arcsec,3,robust=-2.0:taper=0,1,5.4,14.45,2.66,29.24,5.23,1.22,9.9,8.1,,34,0.08,3.2736,3.1e+02,0.62
SKASUR,0,0,800,-10,1.0-2.0arcsec,1,natural,0,3.1,12.50,4.07,12.06,8.14,1.26,5.6,4.4,,5.7,0.24,1.3609,1.8e+02,1.5
SKA1W9-12A72B120,0,0,800,-10,2.0-3.0arcsec,2,natural,0,3,12.50,4.16,12.51,8.00,0.94,5.5,5.9,,17,0.01,2.3480,1.7e+02,0.11
SKA1W9-12A72B120,0,0,650,-30,2.0-3.0arcsec,2,robust=-2.0:taper=1.0,2,3.3,14.45,4.33,14.24,7.50,0.90,6.1,6.7,,16,0.01,2.2609,1.9e+02,0.098
SKA1W9-12A72B120,0,0,800,-10,3.0-4.0arcsec,3,robust=-2.0:taper=0,1,4.1,12.50,3.04,23.22,5.87,0.94,7.5,7.9,,33,0.00,3.2475,2.4e+02,0.06
SKA1REF2,0,0,1100,-50,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,2.3,10.00,4.43,17.80,6.70,1.00,4.1,4.1,,33,0.00,3.2600,1.3e+02,0.079
SKA1W9-0A72B120,0,0,1100,-50,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,1.4,10.00,6.95,6.15,11.40,0.97,2.6,2.7,,2.6,0.00,0.9058,83,0.23
SKA1REF2,0,0,650,-10,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,7.7,14.45,1.88,123.58,2.54,1.00,14,14,,1.7e+06,0.01,745.2491,4.4e+02,0.011
SKASUR,0,0,650,-30,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,5.2,14.45,2.76,22.37,5.98,1.31,9.5,7.3,,34,0.07,3.3014,3e+02,0.8
SKASUR,0,0,650,-30,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,3.1,14.45,4.73,10.98,8.53,1.09,5.6,5.1,,8.3,0.19,1.6333,1.8e+02,1.6
SKASUR,0,0,650,-10,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,3,14.45,4.77,11.55,8.32,0.92,5.5,6,,8.5,0.26,1.6669,1.7e+02,1.6
SKA1REF2,0,0,800,-50,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,3.1,12.50,4.10,12.20,8.10,1.00,5.6,5.6,,4.4,0.01,1.1870,1.8e+02,0.11
SKA1W9-0A72B120,0,0,800,-30,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,2.7,12.50,4.65,9.28,9.29,0.93,4.9,5.2,,4.9,0.00,1.2443,1.5e+02,0.15
SKA1W9-12A72B120,0,0,1100,-50,3.0-4.0arcsec,3,robust=-2.0:taper=0,1,2.6,10.00,3.83,19.03,6.48,1.15,4.8,4.1,,33,0.01,3.2454,1.5e+02,0.074
SKA1REF2,0,0,1100,-50,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,1.8,10.00,5.64,10.20,8.86,1.00,3.2,3.2,,5.1,0.01,1.2747,1e+02,0.14
SKA1REF2,0,0,650,-30,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,7.9,14.45,1.82,136.67,2.42,1.00,14,14,,1.7e+06,0.05,737.5108,4.6e+02,0.01
SKA1W9-12A72B120,0,0,1100,-50,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,1.6,10.00,6.35,6.27,11.30,0.89,2.9,3.2,,5,0.00,1.2597,91,0.22
SKA1W9-0A72B120,0,0,800,-50,2.0-3.0arcsec,2,robust=-2.0:taper=1.0,2,3.8,12.50,3.33,19.00,6.49,1.10,6.8,6.2,,16,0.00,2.2533,2.2e+02,0.074
SKASUR,0,0,650,-30,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,2.9,14.45,4.99,10.67,8.66,0.99,5.3,5.4,,8,0.20,1.6079,1.7e+02,1.7
SKA1W9-0A72B120,0,0,1100,-50,3.0-4.0arcsec,3,robust=-2.0:taper=0,1,3.1,10.00,3.21,27.44,5.40,1.37,5.7,4.1,,33,0.01,3.2500,1.8e+02,0.051
SKA1REF2,0,0,1100,-50,3.0-4.0arcsec,3,natural,0,2.5,10.00,4.06,19.52,6.40,1.00,4.5,4.5,,35,0.03,3.3598,1.4e+02,0.072
SKA1W9-0A72B120,0,0,1100,-30,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,9.9,10.00,1.01,149.18,2.32,1.03,18,18,,1.8e+06,0.04,762.4603,5.7e+02,0.0094
SKA1W9-0A72B120,0,0,650,-10,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,2.4,14.45,5.98,10.26,8.83,0.80,4.4,5.5,,5.1,0.00,1.2689,1.4e+02,0.14
SKA1W9-0A72B120,0,0,1100,-50,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,9.8,10.00,1.02,146.43,2.34,1.03,18,17,,1.9e+06,0.03,768.0090,5.6e+02,0.0096
SKA1W9-12A72B120,0,0,1100,-50,3.0-4.0arcsec,3,natural,0,2.8,10.00,3.53,20.65,6.22,1.15,5.2,4.5,,35,0.01,3.3437,1.6e+02,0.068
SKASUR,0,0,650,-10,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,3.3,14.45,4.33,13.31,7.75,1.04,6.1,5.9,,7.9,0.25,1.6039,1.9e+02,1.4
SKA1W9-0A72B120,0,0,800,-30,1.0-2.0arcsec,1,natural,0,2.5,12.50,5.09,6.75,10.89,1.02,4.5,4.4,,5.2,0.02,1.2882,1.4e+02,0.21
SKA1W9-0A72B120,0,0,650,-30,10.0-60.0arcmin,4,natural,0,8.6,14.45,1.68,154.78,2.27,1.05,16,15,,2e+06,0.03,798.0936,5e+02,0.009
SKA1REF2,0,0,1100,-30,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,1.5,10.00,6.49,8.41,9.75,1.00,2.8,2.8,,2.9,0.03,0.9547,89,0.17
SKA1W9-0A72B120,0,0,800,-30,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,2.3,12.50,5.51,6.62,10.99,0.77,4.1,5.4,,2.4,0.00,0.8706,1.3e+02,0.21
SKA1W9-12A72B120,0,0,1100,-50,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,1.2,10.00,8.16,4.63,13.14,0.83,2.2,2.7,,2.6,0.00,0.9078,71,0.3
SKASUR,0,0,800,-50,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,4.1,12.50,3.02,19.41,6.42,1.19,7.5,6.4,,16,0.02,2.2731,2.4e+02,0.93
SKASUR,0,0,650,-50,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,23,14.45,0.63,852.54,0.97,2.86,42,15,,3.1e+06,0.34,1017.5210,1.3e+03,0.021
SKA1REF2,0,0,800,-30,10.0-60.0arcmin,4,natural,0,10,12.50,1.21,141.10,2.38,1.00,19,19,,2e+06,0.03,790.5840,6e+02,0.0099
SKA1W9-0A72B120,0,0,650,-50,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,4,14.45,3.65,19.49,6.41,1.11,7.2,6.5,,16,0.00,2.2468,2.3e+02,0.072
SKA1W9-12A72B120,0,0,800,-10,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,2.2,12.50,5.68,6.14,11.42,0.70,4,5.7,,2.4,0.00,0.8806,1.3e+02,0.23
SKASUR,0,0,650,-50,10.0-60.0arcmin,4,natural,0,24,14.45,0.61,869.81,0.96,2.88,43,15,,3.4e+06,0.26,1050.6848,1.4e+03,0.021
SKA1W9-12A72B120,0,0,800,-10,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,10,12.50,1.22,138.29,2.41,1.07,19,18,,2e+06,0.02,800.2794,5.9e+02,0.01
SKA1W9-0A72B120,0,0,800,-10,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,2.8,12.50,4.52,10.26,8.83,0.90,5,5.6,,4.9,0.00,1.2473,1.6e+02,0.14
SKA1W9-12A72B120,0,0,650,-10,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,2,14.45,7.09,5.50,12.06,0.69,3.7,5.4,,4.3,0.00,1.1722,1.2e+02,0.25
SKASUR,0,0,800,-10,2.0-3.0arcsec,2,robust=-2.0:taper=1.0,2,4.5,12.50,2.76,25.27,5.63,1.14,8.3,7.3,,17,0.08,2.3020,2.6e+02,0.71
SKA1REF2,0,0,1100,-30,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,9.6,10.00,1.04,136.67,2.42,1.00,18,18,,1.8e+06,0.07,757.0984,5.6e+02,0.01
SKASUR,0,0,650,-50,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,2.7,14.45,5.42,8.32,9.81,1.00,4.9,4.9,,9.4,0.12,1.7300,1.5e+02,2.2
SKA1W9-12A72B120,0,0,800,-50,10.0-60.0arcmin,4,natural,0,11,12.50,1.15,158.19,2.25,1.06,20,19,,2e+06,0.05,795.7997,6.2e+02,0.0089
SKA1REF2,0,0,650,-10,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,4.1,14.45,3.49,20.39,6.26,1.00,7.5,7.5,,16,0.00,2.2496,2.4e+02,0.069
SKASUR,0,0,1100,-30,2.0-3.0arcsec,2,robust=-2.0:taper=1.0,2,2.5,10.00,3.99,21.19,6.14,1.17,4.6,3.9,,17,0.02,2.3140,1.4e+02,0.85
SKA1W9-0A72B120,0,0,650,-50,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,8.3,14.45,1.74,146.43,2.34,1.03,15,15,,1.7e+06,0.01,743.2288,4.8e+02,0.0096
SKA1REF2,0,0,1100,-50,10.0-60.0arcmin,4,natural,0,9.5,10.00,1.06,139.46,2.40,1.00,17,17,,1.8e+06,0.08,763.9114,5.5e+02,0.01
SKA1W9-12A72B120,0,0,650,-30,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,2,14.45,7.25,7.04,10.66,0.66,3.6,5.5,,4.3,0.00,1.1681,1.1e+02,0.2
SKA1W9-12A72B120,0,0,1100,-50,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,10,10.00,0.99,152.56,2.29,1.06,18,17,,1.9e+06,0.05,768.9169,5.8e+02,0.0092
SKASUR,0,0,800,-50,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,26,12.50,0.48,852.54,0.97,2.55,47,19,,2.9e+06,0.21,972.5749,1.5e+03,0.021
SKA1W9-12A72B120,0,0,650,-30,10.0-60.0arcmin,4,natural,0,8.9,14.45,1.62,165.11,2.20,1.09,16,15,,2e+06,0.02,800.2765,5.1e+02,0.0085
SKA1REF2,0,0,800,-10,0.4-1.0arcsec,0,natural,0,2.1,12.50,5.98,6.01,11.53,1.00,3.8,3.8,,1.1,0.06,0.5991,1.2e+02,0.23
SKA1REF2,0,0,650,-50,10.0-60.0arcmin,4,natural,0,8.2,14.45,1.76,139.46,2.40,1.00,15,15,,2e+06,0.02,799.8338,4.7e+02,0.01
SKA1REF2,0,0,1100,-10,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,2.4,10.00,4.18,20.39,6.26,1.00,4.4,4.4,,16,0.00,2.2388,1.4e+02,0.069
SKASUR,0,0,1100,-30,2.0-3.0arcsec,2,natural,0,2.3,10.00,4.34,18.50,6.58,1.10,4.2,3.8,,18,0.01,2.3717,1.3e+02,0.97
SKA1REF2,0,0,800,-30,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,3.9,12.50,3.21,19.17,6.46,1.00,7.1,7.1,,33,0.01,3.2533,2.2e+02,0.073
SKASUR,0,0,800,-50,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,3,12.50,4.19,11.50,8.34,0.98,5.4,5.6,,5.5,0.12,1.3301,1.7e+02,1.6
SKA1W9-12A72B120,0,0,1100,-10,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,1.8,10.00,5.67,7.54,10.30,0.89,3.2,3.6,,5,0.01,1.2642,1e+02,0.19
SKASUR,0,0,800,-30,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,3,12.50,4.16,10.67,8.66,1.02,5.5,5.4,,5.1,0.20,1.2848,1.7e+02,1.7
SKA1REF2,0,0,800,-10,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,2.8,12.50,4.53,9.84,9.02,1.00,5,5,,3.9,0.01,1.1084,1.6e+02,0.14
SKA1W9-12A72B120,0,0,800,-50,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,11,12.50,1.16,152.56,2.29,1.06,20,19,,2e+06,0.05,795.7467,6.2e+02,0.0092
SKASUR,0,0,800,-30,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,26,12.50,0.49,853.99,0.97,2.47,46,19,,3.1e+06,0.34,1021.4836,1.5e+03,0.021
SKA1W9-12A72B120,0,0,1100,-10,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,9.6,10.00,1.04,138.29,2.41,1.07,18,16,,1.9e+06,0.02,771.1431,5.5e+02,0.01
SKASUR,0,0,800,-10,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,2.9,12.50,4.36,9.77,9.05,1.04,5.2,5,,6.7,0.23,1.4711,1.7e+02,1.8
SKA1W9-12A72B120,0,0,650,-50,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,1.9,14.45,7.44,6.64,10.97,0.64,3.5,5.5,,4.3,0.00,1.1666,1.1e+02,0.21
SKA1W9-12A72B120,0,0,1100,-30,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,2.1,10.00,4.69,14.63,7.39,0.98,3.9,4,,16,0.01,2.2252,1.2e+02,0.096
SKA1REF2,0,0,1100,-30,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,1.8,10.00,5.49,10.61,8.68,1.00,3.3,3.3,,5.1,0.02,1.2771,1.1e+02,0.13
SKASUR,0,0,650,-30,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,23,14.45,0.62,853.99,0.97,2.92,42,14,,3.7e+06,0.49,1142.0096,1.3e+03,0.021
SKA1W9-12A72B120,0,0,1100,-30,10.0-60.0arcmin,4,natural,0,10,10.00,0.98,165.11,2.20,1.06,19,18,,1.8e+06,0.05,762.9425,5.9e+02,0.0085
SKA1W9-12A72B120,0,0,800,-10,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,2.4,12.50,5.23,7.93,10.04,0.73,4.4,6,,4.1,0.00,1.1479,1.4e+02,0.18
SKA1W9-0A72B120,0,0,800,-30,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,4.1,12.50,3.02,21.84,6.05,1.13,7.5,6.7,,16,0.01,2.2332,2.4e+02,0.064
SKA1W9-12A72B120,0,0,800,-10,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,4.1,12.50,3.05,23.03,5.89,0.94,7.5,7.9,,33,0.00,3.2557,2.4e+02,0.061
SKA1W9-12A72B120,0,0,1100,-10,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,1.4,10.00,7.40,6.14,11.42,0.70,2.5,3.5,,1.3,0.00,0.6540,78,0.23
SKASUR,0,0,1100,-30,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,2.2,10.00,4.64,22.37,5.98,0.92,3.9,4.2,,34,0.00,3.2723,1.2e+02,0.8
SKA1W9-0A72B120,0,0,800,-30,10.0-60.0arcmin,4,natural,0,11,12.50,1.15,154.78,2.27,1.05,20,19,,2e+06,0.03,795.5474,6.3e+02,0.009
SKA1W9-0A72B120,0,0,650,-30,2.0-3.0arcsec,2,robust=-2.0:taper=1.0,2,4.1,14.45,3.55,21.32,6.13,1.10,7.4,6.7,,16,0.01,2.2706,2.3e+02,0.066
SKASUR,0,0,1100,-50,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,1.7,10.00,5.91,10.25,8.84,0.95,3.1,3.2,,5.5,0.10,1.3272,97,1.8
SKA1W9-0A72B120,0,0,800,-50,2.0-3.0arcsec,2,natural,0,3.5,12.50,3.56,16.53,6.96,1.09,6.4,5.9,,17,0.03,2.3501,2e+02,0.085
SKA1W9-0A72B120,0,0,800,-50,0.4-1.0arcsec,0,natural,0,1.5,12.50,8.06,3.17,15.89,0.74,2.8,3.8,,1.5,0.10,0.7010,89,0.44
SKASUR,0,0,800,-30,1.0-2.0arcsec,1,natural,0,3,12.50,4.16,11.85,8.22,1.25,5.5,4.4,,5.9,0.22,1.3846,1.7e+02,1.5
SKA1W9-12A72B120,0,0,800,-10,1.0-2.0arcsec,1,natural,0,2.1,12.50,6.08,5.12,12.50,0.85,3.7,4.4,,5.1,0.05,1.2789,1.2e+02,0.27
SKA1W9-0A72B120,0,0,650,-10,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,8.1,14.45,1.79,136.10,2.42,1.05,15,14,,1.7e+06,0.03,739.1570,4.6e+02,0.01
SKA1W9-0A72B120,0,0,800,-10,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,4.6,12.50,2.75,26.66,5.48,1.12,8.3,7.4,,16,0.01,2.2429,2.6e+02,0.053
SKA1REF2,0,0,1100,-30,3.0-4.0arcsec,3,robust=-2.0:taper=0,1,2.3,10.00,4.27,19.36,6.43,1.00,4.3,4.3,,33,0.01,3.2489,1.4e+02,0.072
SKA1W9-12A72B120,0,0,1100,-50,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,2.6,10.00,3.85,18.88,6.51,1.15,4.7,4.1,,33,0.01,3.2542,1.5e+02,0.074
SKA1W9-0A72B120,0,0,800,-30,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,11,12.50,1.15,149.18,2.32,1.05,20,19,,2e+06,0.03,795.2354,6.3e+02,0.0094
SKA1W9-12A72B120,0,0,800,-30,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,2,12.50,6.16,5.33,12.25,0.69,3.7,5.4,,2.4,0.00,0.8724,1.2e+02,0.26
SKASUR,0,0,1100,-30,3.0-4.0arcsec,3,natural,0,2.3,10.00,4.35,23.35,5.85,0.93,4.2,4.5,,35,0.08,3.3332,1.3e+02,0.77
SKA1W9-12A72B120,0,0,650,-50,10.0-60.0arcmin,4,robust=-2.0:taper=1.0,2,8.5,14.45,1.71,152.56,2.29,1.05,15,15,,1.7e+06,0.01,741.6810,4.9e+02,0.0092
SKASUR,0,0,1100,-30,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,1.5,10.00,6.49,8.63,9.63,1.00,2.8,2.8,,4.4,0.16,1.1862,89,2.1
SKASUR,0,0,800,-50,3.0-4.0arcsec,3,robust=-2.0:taper=0,1,4.2,12.50,2.95,18.55,6.57,1.12,7.7,6.9,,34,0.02,3.2777,2.4e+02,0.97
SKA1REF2,0,0,650,-50,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,3,14.45,4.85,10.99,8.53,1.00,5.4,5.4,,3.8,0.02,1.0989,1.7e+02,0.13
SKA1W9-12A72B120,0,0,800,-10,2.0-3.0arcsec,2,robust=-2.0:taper=1.0,2,3.6,12.50,3.51,16.66,6.93,0.89,6.5,7.3,,16,0.01,2.2573,2.1e+02,0.084
SKA1W9-12A72B120,0,0,650,-10,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,2.1,14.45,6.79,7.54,10.30,0.70,3.9,5.5,,5.1,0.00,1.2717,1.2e+02,0.19
SKA1REF2,0,0,1100,-10,0.4-1.0arcsec,0,natural,0,1.3,10.00,7.61,6.01,11.53,1.00,2.4,2.4,,1.1,0.06,0.5857,76,0.23
